"Kod";"Nazwa";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"wielorodzinne;2020;[ha]";"wielorodzinne;2021;[ha]";"wielorodzinne;2022;[ha]";"jednorodzinne;2020;[ha]";"jednorodzinne;2021;[ha]";"jednorodzinne;2022;[ha]";"spółdzielcze;2020;[ha]";"spółdzielcze;2021;[ha]";"spółdzielcze;2022;[ha]";"komunalne;2020;[ha]";"komunalne;2021;[ha]";"komunalne;2022;[ha]";"towarzystw budownictwa społecznego;2020;[ha]";"towarzystw budownictwa społecznego;2021;[ha]";"towarzystw budownictwa społecznego;2022;[ha]";"osób fizycznych;2020;[ha]";"osób fizycznych;2021;[ha]";"osób fizycznych;2022;[ha]";"spółek i innych;2020;[ha]";"spółek i innych;2021;[ha]";"spółek i innych;2022;[ha]";
0224073;"Złoty Stok (3)";1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0224074;"Złoty Stok - miasto (4)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0225000;"Powiat zgorzelecki";7;8;7;0;2;0;7;6;7;0;0;0;3;1;1;0;0;0;4;5;5;0;2;2;
0225011;"Zawidów (1)";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
0225021;"Zgorzelec (1)";2;3;2;0;2;0;2;1;2;0;0;0;0;0;0;0;0;0;2;1;1;0;2;2;
0225033;"Bogatynia (3)";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0225034;"Bogatynia - miasto (4)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0225043;"Pieńsk (3)";1;2;2;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;
0225044;"Pieńsk - miasto (4)";1;1;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;
0225045;"Pieńsk - obszar wiejski (5)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0225063;"Węgliniec (3)";1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0225064;"Węgliniec - miasto (4)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0225065;"Węgliniec - obszar wiejski (5)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0225072;"Zgorzelec (2)";3;1;1;0;0;0;3;1;1;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;
0226000;"Powiat złotoryjski";2;3;3;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;1;2;2;1;1;1;
0226011;"Wojcieszów (1)";1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0226021;"Złotoryja (1)";1;2;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;
0226043;"Świerzawa (3)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0226045;"Świerzawa - obszar wiejski (5)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0226052;"Zagrodno (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0261000;"Powiat m. Jelenia Góra";6;6;2;2;4;0;4;2;2;0;0;0;0;0;0;0;0;0;3;2;1;2;4;1;
0261011;"Jelenia Góra (1)";6;6;2;2;4;0;4;2;2;0;0;0;0;0;0;0;0;0;3;2;1;2;4;1;
0262000;"Powiat m. Legnica";3;2;1;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;
0262011;"Legnica (1)";3;2;1;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;
0264000;"Powiat m. Wrocław";6;12;10;2;6;7;4;6;2;0;0;0;0;0;0;0;0;0;1;3;2;5;9;8;
0264011;"Wrocław (1)";6;12;10;2;6;7;4;6;2;0;0;0;0;0;0;0;0;0;1;3;2;5;9;8;
0265000;"Powiat m. Wałbrzych od 2013";0;2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;
0265011;"Wałbrzych od 2013 (1)";0;2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;
0400000;"KUJAWSKO-POMORSKIE";49;48;44;15;16;13;34;33;31;1;0;0;1;1;1;2;0;3;37;37;28;8;10;12;
0401000;"Powiat aleksandrowski";1;2;3;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;
0401011;"Aleksandrów Kujawski (1)";1;1;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;
0401082;"Waganiec (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0402000;"Powiat brodnicki";7;3;2;5;0;0;2;3;2;0;0;0;0;1;0;0;0;0;6;3;2;1;0;0;
0402022;"Bobrowo (2)";1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
0402032;"Brodnica (2)";0;2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;
0402073;"Jabłonowo Pomorskie (3)";5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;
0402074;"Jabłonowo Pomorskie - miasto (4)";5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;
0403000;"Powiat bydgoski";4;9;2;1;3;0;4;6;2;0;0;0;0;0;0;0;0;0;3;7;2;1;2;0;
0403012;"Białe Błota (2)";0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
0403043;"Koronowo (3)";1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0403044;"Koronowo - miasto (4)";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0403062;"Osielsko (2)";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0403072;"Sicienko (2)";0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;
0403083;"Solec Kujawski (3)";3;4;0;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;
0403084;"Solec Kujawski - miasto (4)";3;4;0;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;
0404000;"Powiat chełmiński";2;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;
0404011;"Chełmno (1)";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0404022;"Chełmno (2)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0405000;"Powiat golubsko-dobrzyński";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0405043;"Kowalewo Pomorskie (3)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0405044;"Kowalewo Pomorskie - miasto (4)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0406000;"Powiat grudziądzki";1;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;
0406022;"Gruta (2)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0406043;"Radzyń Chełmiński (3)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0406045;"Radzyń Chełmiński - obszar wiejski (5)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0406062;"Świecie nad Osą (2)";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0407000;"Powiat inowrocławski";2;2;1;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;
0407011;"Inowrocław (1)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0407042;"Inowrocław (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0407053;"Janikowo (3)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0407054;"Janikowo - miasto (4)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0407082;"Rojewo (2)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0408000;"Powiat lipnowski";0;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
0408011;"Lipno (1)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0408073;"Skępe (3)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0408074;"Skępe - miasto (4)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0408092;"Wielgie (2)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0409000;"Powiat mogileński";0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;
0409043;"Strzelno (3)";0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;
0409044;"Strzelno - miasto (4)";0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;
0410000;"Powiat nakielski";1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;
0410023;"Mrocza (3)";1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;
0410024;"Mrocza - miasto (4)";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
0410025;"Mrocza - obszar wiejski (5)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0412000;"Powiat rypiński";1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;
0412032;"Rogowo (2)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0412062;"Wąpielsk (2)";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
0413000;"Powiat sępoleński";1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0413013;"Kamień Krajeński (3)";1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0413015;"Kamień Krajeński - obszar wiejski (5)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0414000;"Powiat świecki";2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
0414093;"Świecie (3)";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
0414094;"Świecie - miasto (4)";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
0414112;"Warlubie (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0415000;"Powiat toruński";5;1;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;
0415042;"Lubicz (2)";4;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
0415052;"Łubianka (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0416000;"Powiat tucholski";4;4;8;0;0;2;4;4;6;0;0;0;0;0;0;0;0;0;4;4;6;0;0;2;
0416022;"Gostycyn (2)";0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
0416032;"Kęsowo (2)";0;2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;
0416052;"Śliwice (2)";2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;
0416063;"Tuchola (3)";2;1;5;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;2;1;5;0;0;0;
0416064;"Tuchola - miasto (4)";2;1;5;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;2;1;5;0;0;0;
0417000;"Powiat wąbrzeski";1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;
0417011;"Wąbrzeźno (1)";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0418000;"Powiat włocławski";6;4;5;1;0;1;5;4;4;0;0;0;1;0;0;0;0;0;5;4;4;1;0;1;
0418011;"Kowal (1)";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
0418043;"Brześć Kujawski (3)";1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
0418044;"Brześć Kujawski - miasto (4)";1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
0418052;"Choceń (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0418113;"Lubień Kujawski (3)";4;3;4;0;0;0;4;3;4;0;0;0;0;0;0;0;0;0;4;3;4;0;0;0;
0418114;"Lubień Kujawski - miasto (4)";2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
0418115;"Lubień Kujawski - obszar wiejski (5)";3;3;4;0;0;0;3;3;4;0;0;0;0;0;0;0;0;0;3;3;4;0;0;0;
0419000;"Powiat żniński";2;3;3;0;1;1;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;1;1;
0419013;"Barcin (3)";1;1;2;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;
0419014;"Barcin - miasto (4)";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
0419015;"Barcin - obszar wiejski (5)";1;1;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;
0419022;"Gąsawa (2)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0419052;"Rogowo (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0419063;"Żnin (3)";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0461000;"Powiat m. Bydgoszcz";1;2;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;
0461011;"Bydgoszcz (1)";1;2;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;
0462000;"Powiat m. Grudziądz";2;11;2;0;8;2;2;3;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;2;
0462011;"Grudziądz (1)";2;11;2;0;8;2;2;3;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;2;
0463000;"Powiat m. Toruń";5;3;5;5;2;4;1;1;2;0;0;0;0;0;0;0;0;3;0;0;1;5;3;1;
0463011;"Toruń (1)";5;3;5;5;2;4;1;1;2;0;0;0;0;0;0;0;0;3;0;0;1;5;3;1;
0464000;"Powiat m. Włocławek";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0464011;"Włocławek (1)";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0600000;"LUBELSKIE";30;30;20;4;5;5;26;25;15;1;0;0;1;3;1;1;1;0;25;21;14;2;5;6;
0601000;"Powiat bialski";2;4;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;
0601011;"Międzyrzec Podlaski (1)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0601032;"Biała Podlaska (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0601052;"Janów Podlaski (2)";0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
0601062;"Kodeń (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0601162;"Terespol (2)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0601192;"Zalesie (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0602000;"Powiat biłgorajski";2;2;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;
0602011;"Biłgoraj (1)";1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;
0602073;"Józefów (3)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0602075;"Józefów - obszar wiejski (5)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0603000;"Powiat chełmski";6;4;2;0;0;0;6;4;2;0;0;0;0;0;0;0;0;0;6;4;2;0;0;0;
0603011;"Rejowiec Fabryczny (1)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0603022;"Białopole (2)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0603082;"Rejowiec Fabryczny (2)";1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;
0603102;"Sawin (2)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0603113;"Siedliszcze (3)";2;1;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;
0603114;"Siedliszcze - miasto (4)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0603115;"Siedliszcze - obszar wiejski (5)";1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0603122;"Wierzbica (2)";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0604000;"Powiat hrubieszowski";2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;
0604011;"Hrubieszów (1)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;
0604022;"Dołhobyczów (2)";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
0604082;"Werbkowice (2)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0605000;"Powiat janowski";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0607000;"Powiat kraśnicki";1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
0607011;"Kraśnik (1)";1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0608000;"Powiat lubartowski";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0608132;"Uścimów (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0609000;"Powiat lubelski";0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;
0609052;"Głusk (2)";0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;
0610000;"Powiat łęczyński";0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
0610033;"Łęczna (3)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0610034;"Łęczna - miasto (4)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0610042;"Milejów (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0611000;"Powiat łukowski";0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
0611011;"Łuków (1)";0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0611052;"Łuków (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0613000;"Powiat parczewski";0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
0613072;"Sosnowica (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
0615000;"Powiat radzyński";2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
0615032;"Czemierniki (2)";2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
0616000;"Powiat rycki";3;1;3;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1;
0616011;"Dęblin (1)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0616043;"Ryki (3)";0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
0616044;"Ryki - miasto (4)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
0616045;"Ryki - obszar wiejski (5)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0616052;"Stężyca (2)";3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
0617000;"Powiat świdnicki";1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0617011;"Świdnik (1)";1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0618000;"Powiat tomaszowski";4;2;1;0;0;0;4;2;1;0;0;0;0;1;0;0;0;0;4;1;1;0;0;0;
0618022;"Bełżec (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0618032;"Jarczów (2)";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0618053;"Lubycza Królewska (3)";3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
0618055;"Lubycza Królewska - obszar wiejski (5)";3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
0618092;"Tarnawatka (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
0619000;"Powiat włodawski";2;4;2;0;0;0;2;4;2;0;0;0;1;1;0;0;0;0;1;3;2;0;0;0;
0619011;"Włodawa (1)";1;2;2;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;
0619032;"Hańsk (2)";1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
0619052;"Urszulin (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0619082;"Wyryki (2)";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
0620000;"Powiat zamojski";1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
0620092;"Sitno (2)";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0620133;"Szczebrzeszyn (3)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0620134;"Szczebrzeszyn - miasto (4)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0661000;"Powiat m. Biała Podlaska";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0661011;"Biała Podlaska (1)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0662000;"Powiat m. Chełm";1;3;1;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;
0662011;"Chełm (1)";1;3;1;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;
0663000;"Powiat m. Lublin";1;1;2;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;
0663011;"Lublin (1)";1;1;2;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;
0664000;"Powiat m. Zamość";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;
0664011;"Zamość (1)";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;
0800000;"LUBUSKIE";54;77;61;7;11;8;48;66;53;0;0;1;2;4;2;0;0;0;44;61;47;8;12;11;
0801000;"Powiat gorzowski";3;5;5;0;1;1;2;4;3;0;0;0;0;0;0;0;0;0;2;4;3;0;1;1;
0801011;"Kostrzyn nad Odrą (1)";2;2;4;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;
0801022;"Bogdaniec (2)";0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;
0801042;"Kłodawa (2)";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
0802000;"Powiat krośnieński";4;5;5;0;2;0;4;3;5;0;0;0;0;0;0;0;0;0;3;4;5;1;1;0;
0802011;"Gubin (1)";2;3;3;0;1;0;2;2;3;0;0;0;0;0;0;0;0;0;2;3;3;0;0;0;
0802032;"Bytnica (2)";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;
0802052;"Gubin (2)";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
0802063;"Krosno Odrzańskie (3)";1;2;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;
0802064;"Krosno Odrzańskie - miasto (4)";1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0803000;"Powiat międzyrzecki";4;6;3;0;1;1;4;5;3;0;0;0;0;2;0;0;0;0;4;4;3;0;0;1;
0803023;"Międzyrzecz (3)";2;1;1;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;
0803024;"Międzyrzecz - miasto (4)";2;1;1;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;
