"Kod";"Nazwa";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem - uzbrojone;2020;[ha]";"ogółem - uzbrojone;2021;[ha]";"ogółem - uzbrojone;2022;[ha]";
0000000;"POLSKA";27698,3;27328,1;27356,0;12360,2;12022,4;11846,3;
0200000;"DOLNOŚLĄSKIE";3270,5;3306,7;3225,9;1149,4;1118,2;1062,1;
0201000;"Powiat bolesławiecki";148,3;145,9;143,1;65,5;64,3;62,2;
0201011;"Bolesławiec (1)";97,5;96,9;96,0;27,2;26,6;25,7;
0201022;"Bolesławiec (2)";34,9;33,3;33,0;26,2;25,8;25,8;
0201032;"Gromadka (2)";0,4;0,3;0,3;0,4;0,3;0,3;
0201043;"Nowogrodziec (3)";4,4;4,4;4,0;0,6;0,6;0,6;
0201044;"Nowogrodziec - miasto (4)";2,1;2,1;2,1;0,4;0,4;0,4;
0201045;"Nowogrodziec - obszar wiejski (5)";2,3;2,3;1,9;0,2;0,2;0,2;
0201052;"Osiecznica (2)";4,9;4,8;4,0;4,9;4,8;4,0;
0201062;"Warta Bolesławiecka (2)";6,2;6,2;5,8;6,2;6,2;5,8;
0202000;"Powiat dzierżoniowski";109,8;162,4;159,2;28,5;25,2;22,6;
0202011;"Bielawa (1)";30,3;29,8;28,5;5,4;4,8;3,5;
0202021;"Dzierżoniów (1)";63,1;61,4;60,5;14,7;13,0;12,1;
0202033;"Pieszyce (3)";3,2;2,7;2,6;3,2;2,7;2,6;
0202034;"Pieszyce - miasto (4)";1,7;2,1;2,1;1,7;2,1;2,1;
0202035;"Pieszyce - obszar wiejski (5)";1,5;0,6;0,5;1,5;0,6;0,5;
0202041;"Piława Górna (1)";9,0;8,6;8,3;4,6;4,2;3,9;
0202052;"Dzierżoniów (2)";0,0;55,8;55,2;0,0;0,0;0,0;
0202062;"Łagiewniki (2)";0,2;0,1;0,1;0,2;0,1;0,1;
0202073;"Niemcza (3)";4,0;4,0;4,0;0,4;0,4;0,4;
0202074;"Niemcza - miasto (4)";3,3;3,3;3,3;0,4;0,4;0,4;
0202075;"Niemcza - obszar wiejski (5)";0,7;0,7;0,7;0,0;0,0;0,0;
0203000;"Powiat głogowski";29,2;28,0;35,5;9,4;8,3;6,0;
0203011;"Głogów (1)";19,4;18,3;22,5;7,5;6,4;3,5;
0203022;"Głogów (2)";6,2;6,2;9,6;1,9;1,9;2,5;
0203042;"Kotla (2)";1,7;1,6;1,6;0,0;0,0;0,0;
0203052;"Pęcław (2)";0,1;0,1;0,0;0,0;0,0;0,0;
0203062;"Żukowice (2)";1,8;1,8;1,8;0,0;0,0;0,0;
0204000;"Powiat górowski";216,3;215,4;216,8;10,9;10,4;10,2;
0204013;"Góra (3)";191,2;190,5;190,0;1,0;0,7;0,5;
0204014;"Góra - miasto (4)";191,2;190,5;190,0;1,0;0,7;0,5;
0204022;"Jemielno (2)";4,5;4,3;4,3;4,5;4,3;4,3;
0204032;"Niechlów (2)";4,8;4,8;6,7;0,9;0,9;0,9;
0204043;"Wąsosz (3)";15,8;15,8;15,8;4,5;4,5;4,5;
0204044;"Wąsosz - miasto (4)";14,2;14,2;14,2;4,0;4,0;4,0;
0204045;"Wąsosz - obszar wiejski (5)";1,6;1,6;1,6;0,5;0,5;0,5;
0205000;"Powiat jaworski";30,6;28,0;26,9;13,2;12,0;8,9;
0205011;"Jawor (1)";5,6;5,6;5,6;1,7;1,7;1,7;
0205023;"Bolków (3)";20,0;19,8;14,3;9,5;9,5;6,5;
0205024;"Bolków - miasto (4)";19,8;19,6;14,1;9,3;9,3;6,3;
0205025;"Bolków - obszar wiejski (5)";0,2;0,2;0,2;0,2;0,2;0,2;
0205032;"Męcinka (2)";1,2;0,2;4,6;1,2;0,2;0,1;
0205042;"Mściwojów (2)";0,3;0,3;0,3;0,3;0,3;0,3;
0205052;"Paszowice (2)";0,8;0,8;0,8;0,0;0,0;0,0;
0205062;"Wądroże Wielkie (2)";2,7;1,3;1,3;0,5;0,3;0,3;
0206000;"Powiat karkonoski";202,5;195,5;188,2;83,1;82,4;80,9;
0206011;"Karpacz (1)";3,5;3,5;3,5;3,5;3,5;3,5;
0206021;"Kowary (1)";7,3;3,8;2,8;0,3;0,2;0,2;
0206031;"Piechowice (1)";87,5;85,5;84,3;16,8;16,8;16,8;
0206041;"Szklarska Poręba (1)";26,6;26,1;24,7;26,6;26,1;24,6;
0206052;"Janowice Wielkie (2)";4,5;4,5;4,5;3,3;3,3;3,3;
0206062;"Jeżów Sudecki (2)";28,7;28,7;25,9;0,6;0,6;0,6;
0206072;"Mysłakowice (2)";3,8;2,9;2,0;2,0;2,0;2,0;
0206082;"Podgórzyn (2)";32,9;32,9;32,9;22,3;22,3;22,3;
0206092;"Stara Kamienica (2)";7,7;7,6;7,6;7,7;7,6;7,6;
0207000;"Powiat kamiennogórski";84,1;80,4;71,9;35,0;33,6;31,5;
0207011;"Kamienna Góra (1)";16,9;15,9;10,3;0,4;0,4;0,4;
0207022;"Kamienna Góra (2)";27,1;26,5;24,8;5,1;4,5;2,8;
0207033;"Lubawka (3)";27,6;26,1;25,3;18,2;18,0;18,0;
0207034;"Lubawka - miasto (4)";22,0;21,1;20,3;13,8;13,8;13,8;
0207035;"Lubawka - obszar wiejski (5)";5,6;5,0;5,0;4,4;4,2;4,2;
0207042;"Marciszów (2)";12,5;11,9;11,5;11,3;10,7;10,3;
0208000;"Powiat kłodzki";410,4;429,4;415,7;170,1;163,5;158,0;
0208011;"Duszniki-Zdrój (1)";0,5;0,5;0,5;0,3;0,3;0,3;
0208021;"Kłodzko (1)";1,5;1,7;2,5;1,2;1,2;1,4;
0208031;"Kudowa-Zdrój (1)";76,8;76,4;76,0;0,0;0,0;0,0;
0208041;"Nowa Ruda (1)";60,6;58,2;57,0;60,6;58,2;57,0;
0208051;"Polanica-Zdrój (1)";97,2;95,7;94,5;48,4;47,4;46,8;
0208063;"Bystrzyca Kłodzka (3)";19,5;18,3;18,3;0,0;0,0;0,0;
0208064;"Bystrzyca Kłodzka - miasto (4)";10,6;10,6;10,6;0,0;0,0;0,0;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8,9;7,7;7,7;0,0;0,0;0,0;
0208072;"Kłodzko (2)";15,5;15,6;12,8;12,8;13,0;11,4;
0208083;"Lądek-Zdrój (3)";11,9;10,9;8,6;8,5;8,4;7,7;
0208084;"Lądek-Zdrój - miasto (4)";9,4;8,4;6,4;6,0;5,9;5,5;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2,5;2,5;2,2;2,5;2,5;2,2;
0208092;"Lewin Kłodzki (2)";3,8;3,5;3,2;0,6;0,3;0,3;
0208103;"Międzylesie (3)";22,8;22,8;22,6;14,5;14,5;14,3;
0208104;"Międzylesie - miasto (4)";10,9;10,9;10,7;10,9;10,9;10,7;
0208105;"Międzylesie - obszar wiejski (5)";11,9;11,9;11,9;3,6;3,6;3,6;
0208112;"Nowa Ruda (2)";10,0;10,0;10,0;8,6;8,6;8,6;
0208123;"Radków (3)";33,2;23,9;20,0;2,5;0,5;0,2;
0208124;"Radków - miasto (4)";8,7;3,7;2,2;1,9;0,2;0,1;
0208125;"Radków - obszar wiejski (5)";24,5;20,2;17,8;0,6;0,3;0,1;
0208133;"Stronie Śląskie (3)";9,2;44,6;43,0;3,2;2,2;1,3;
0208134;"Stronie Śląskie - miasto (4)";2,6;2,6;1,7;2,2;2,2;1,3;
0208135;"Stronie Śląskie - obszar wiejski (5)";6,6;42,0;41,3;1,0;0,0;0,0;
0208143;"Szczytna (3)";47,9;47,3;46,7;8,9;8,9;8,7;
0208144;"Szczytna - miasto (4)";33,8;33,2;32,8;2,5;2,5;2,5;
0208145;"Szczytna - obszar wiejski (5)";14,1;14,1;13,9;6,4;6,4;6,2;
0209000;"Powiat legnicki";65,3;57,4;53,2;23,5;22,6;20,5;
0209011;"Chojnów (1)";6,5;5,7;3,2;0,7;0,7;0,0;
0209022;"Chojnów (2)";31,7;30,9;30,5;17,3;16,5;16,3;
0209032;"Krotoszyce (2)";0,8;0,8;0,0;0,8;0,8;0,0;
0209042;"Kunice (2)";1,2;1,2;1,2;1,2;1,2;1,2;
0209052;"Legnickie Pole (2)";2,0;1,8;1,3;0,4;0,4;0,0;
0209062;"Miłkowice (2)";7,6;1,5;1,5;1,6;1,5;1,5;
0209073;"Prochowice (3)";14,7;14,7;14,7;1,5;1,5;1,5;
0209074;"Prochowice - miasto (4)";14,7;14,7;14,7;1,5;1,5;1,5;
0209082;"Ruja (2)";0,8;0,8;0,8;0,0;0,0;0,0;
0210000;"Powiat lubański";90,2;84,7;83,5;19,4;19,1;18,9;
0210011;"Lubań (1)";48,4;46,8;46,0;0,7;0,7;0,7;
0210021;"Świeradów-Zdrój (1)";10,1;7,6;6,9;4,0;4,0;3,8;
0210033;"Leśna (3)";14,1;13,9;13,9;9,9;9,9;9,9;
0210034;"Leśna - miasto (4)";9,9;9,9;9,9;9,9;9,9;9,9;
0210035;"Leśna - obszar wiejski (5)";4,2;4,0;4,0;0,0;0,0;0,0;
0210042;"Lubań (2)";12,4;11,5;10,8;0,0;0,0;0,0;
0210053;"Olszyna (3)";0,9;0,9;0,9;0,5;0,5;0,5;
0210054;"Olszyna - miasto (4)";0,6;0,6;0,6;0,3;0,3;0,3;
0210055;"Olszyna - obszar wiejski (5)";0,3;0,3;0,3;0,2;0,2;0,2;
0210062;"Platerówka (2)";3,9;3,8;3,8;3,9;3,8;3,8;
0210072;"Siekierczyn (2)";0,4;0,2;1,2;0,4;0,2;0,2;
0211000;"Powiat lubiński";88,9;89,8;87,5;29,6;28,6;26,9;
0211011;"Lubin (1)";10,7;13,0;12,5;0,0;0,0;0,0;
0211022;"Lubin (2)";5,8;5,1;4,8;4,9;4,2;3,9;
0211032;"Rudna (2)";27,8;27,5;26,1;24,7;24,4;23,0;
0211043;"Ścinawa (3)";44,6;44,2;44,1;0,0;0,0;0,0;
0211044;"Ścinawa - miasto (4)";44,6;44,2;44,1;0,0;0,0;0,0;
0212000;"Powiat lwówecki";55,7;54,9;53,9;20,5;20,2;19,9;
0212013;"Gryfów Śląski (3)";10,7;10,4;9,8;3,1;3,0;3,0;
0212014;"Gryfów Śląski - miasto (4)";10,2;10,0;9,4;2,6;2,6;2,6;
0212015;"Gryfów Śląski - obszar wiejski (5)";0,5;0,4;0,4;0,5;0,4;0,4;
0212023;"Lubomierz (3)";2,1;1,8;1,5;1,7;1,7;1,5;
0212024;"Lubomierz - miasto (4)";2,1;1,8;1,5;1,7;1,7;1,5;
0212033;"Lwówek Śląski (3)";21,0;21,0;21,0;0,0;0,0;0,0;
0212034;"Lwówek Śląski - miasto (4)";20,0;20,0;20,0;0,0;0,0;0,0;
0212035;"Lwówek Śląski - obszar wiejski (5)";1,0;1,0;1,0;0,0;0,0;0,0;
0212043;"Mirsk (3)";19,1;18,9;18,8;12,9;12,7;12,6;
0212044;"Mirsk - miasto (4)";12,5;12,3;12,2;11,6;11,4;11,3;
0212045;"Mirsk - obszar wiejski (5)";6,6;6,6;6,6;1,3;1,3;1,3;
0212053;"Wleń (3)";2,8;2,8;2,8;2,8;2,8;2,8;
0212054;"Wleń - miasto (4)";2,8;2,8;2,8;2,8;2,8;2,8;
0213000;"Powiat milicki";32,8;27,4;23,5;17,2;11,8;9,7;
0213012;"Cieszków (2)";1,5;1,5;1,5;1,5;1,5;1,5;
0213022;"Krośnice (2)";8,9;6,7;5,1;8,9;6,7;5,1;
0213033;"Milicz (3)";22,4;19,2;16,9;6,8;3,6;3,1;
0213034;"Milicz - miasto (4)";11,7;11,1;11,0;3,2;2,6;2,5;
0213035;"Milicz - obszar wiejski (5)";10,7;8,1;5,9;3,6;1,0;0,6;
0214000;"Powiat oleśnicki";100,2;91,0;88,6;43,1;37,2;35,7;
0214011;"Oleśnica (1)";5,4;3,3;3,6;2,2;0,1;0,5;
0214023;"Bierutów (3)";1,5;0,8;0,7;1,0;0,8;0,7;
0214024;"Bierutów - miasto (4)";0,7;0,5;0,5;0,7;0,5;0,5;
0214025;"Bierutów - obszar wiejski (5)";0,8;0,3;0,2;0,3;0,3;0,2;
0214032;"Dobroszyce (2)";1,8;1,1;1,0;0,8;0,4;0,4;
0214042;"Dziadowa Kłoda (2)";4,0;4,0;4,0;4,0;4,0;4,0;
0214053;"Międzybórz (3)";2,2;2,2;2,2;1,9;1,9;1,9;
0214054;"Międzybórz - miasto (4)";1,9;1,9;1,9;1,9;1,9;1,9;
0214055;"Międzybórz - obszar wiejski (5)";0,3;0,3;0,3;0,0;0,0;0,0;
0214062;"Oleśnica (2)";16,8;14,3;14,1;1,0;1,0;1,0;
0214073;"Syców (3)";15,3;14,1;13,3;11,5;10,3;9,5;
0214074;"Syców - miasto (4)";10,1;9,3;8,9;6,3;5,5;5,1;
0214075;"Syców - obszar wiejski (5)";5,2;4,8;4,4;5,2;4,8;4,4;
0214083;"Twardogóra (3)";53,2;51,2;49,7;20,7;18,7;17,7;
0214084;"Twardogóra - miasto (4)";33,6;33,2;33,0;11,4;11,0;10,8;
0214085;"Twardogóra - obszar wiejski (5)";19,6;18,0;16,7;9,3;7,7;6,9;
0215000;"Powiat oławski";54,2;53,5;52,4;16,3;16,0;14,9;
0215011;"Oława (1)";7,7;8,1;9,0;2,1;2,7;2,9;
0215022;"Domaniów (2)";0,1;0,1;0,0;0,0;0,0;0,0;
0215033;"Jelcz-Laskowice (3)";39,9;39,0;37,7;14,1;13,2;11,9;
0215034;"Jelcz-Laskowice - miasto (4)";24,5;24,3;24,2;6,3;6,1;6,0;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";15,4;14,7;13,5;7,8;7,1;5,9;
0215042;"Oława (2)";6,5;6,3;5,7;0,1;0,1;0,1;
0216000;"Powiat polkowicki";66,9;64,9;77,4;2,8;2,2;2,1;
0216013;"Chocianów (3)";5,8;4,8;3,9;0,0;0,0;0,0;
0216014;"Chocianów - miasto (4)";5,8;4,8;3,9;0,0;0,0;0,0;
0216022;"Gaworzyce (2)";0,2;0,1;0,0;0,2;0,1;0,0;
0216032;"Grębocice (2)";3,3;3,3;3,3;0,2;0,2;0,2;
0216043;"Polkowice (3)";35,3;34,6;34,6;0,0;0,0;0,0;
0216044;"Polkowice - miasto (4)";30,0;30,0;30,0;0,0;0,0;0,0;
0216045;"Polkowice - obszar wiejski (5)";5,3;4,6;4,6;0,0;0,0;0,0;
0216053;"Przemków (3)";21,6;21,0;19,8;1,7;1,7;1,7;
0216054;"Przemków - miasto (4)";20,5;19,9;18,9;1,4;1,4;1,4;
0216055;"Przemków - obszar wiejski (5)";1,1;1,1;0,9;0,3;0,3;0,3;
0216062;"Radwanice (2)";0,7;1,1;15,8;0,7;0,2;0,2;
0217000;"Powiat strzeliński";59,9;53,6;51,5;10,6;7,2;6,7;
0217012;"Borów (2)";1,0;1,0;1,0;1,0;1,0;1,0;
0217022;"Kondratowice (2)";5,1;4,9;4,8;0,0;0,0;0,0;
0217032;"Przeworno (2)";18,6;17,6;17,6;0,0;0,0;0,0;
0217043;"Strzelin (3)";19,7;15,5;13,8;2,6;0,0;0,0;
0217044;"Strzelin - miasto (4)";15,0;13,7;12,5;0,7;0,0;0,0;
0217045;"Strzelin - obszar wiejski (5)";4,7;1,8;1,3;1,9;0,0;0,0;
0217053;"Wiązów (3)";15,5;14,6;14,3;7,0;6,2;5,7;
0217054;"Wiązów - miasto (4)";14,8;14,1;13,9;6,3;5,7;5,3;
0217055;"Wiązów - obszar wiejski (5)";0,7;0,5;0,4;0,7;0,5;0,4;
0218000;"Powiat średzki";29,3;28,8;26,1;9,5;11,5;10,4;
0218012;"Kostomłoty (2)";9,8;9,3;9,0;0,6;0,5;0,5;
0218022;"Malczyce (2)";4,5;3,8;3,7;4,5;3,8;3,7;
0218032;"Miękinia (2)";0,7;3,5;2,5;0,7;3,5;2,5;
0218043;"Środa Śląska (3)";11,7;10,3;9,6;3,7;3,7;3,7;
0218044;"Środa Śląska - miasto (4)";1,6;1,6;1,6;0,7;0,7;0,7;
0218045;"Środa Śląska - obszar wiejski (5)";10,1;8,7;8,0;3,0;3,0;3,0;
0218052;"Udanin (2)";2,6;1,9;1,3;0,0;0,0;0,0;
0219000;"Powiat świdnicki";147,5;139,5;135,3;10,7;11,1;11,0;
0219011;"Świdnica (1)";82,5;78,4;77,9;1,5;1,5;1,5;
0219021;"Świebodzice (1)";18,3;16,4;16,0;1,0;1,0;1,0;
0219032;"Dobromierz (2)";7,8;7,3;4,8;0,0;0,0;0,0;
0219043;"Jaworzyna Śląska (3)";1,8;3,7;4,2;1,6;1,6;2,1;
0219044;"Jaworzyna Śląska - miasto (4)";0,9;2,8;2,8;0,8;0,8;0,8;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";0,9;0,9;1,4;0,8;0,8;1,3;
0219052;"Marcinowice (2)";12,2;12,2;12,2;0,2;0,1;0,1;
0219063;"Strzegom (3)";2,8;3,3;2,7;2,8;3,3;2,7;
0219064;"Strzegom - miasto (4)";2,3;1,6;1,6;2,3;1,6;1,6;
0219065;"Strzegom - obszar wiejski (5)";0,5;1,7;1,1;0,5;1,7;1,1;
0219072;"Świdnica (2)";16,5;13,1;12,6;0,3;0,5;0,5;
0219083;"Żarów (3)";5,6;5,1;4,9;3,3;3,1;3,1;
0219084;"Żarów - miasto (4)";4,3;4,1;4,1;3,3;3,1;3,1;
0219085;"Żarów - obszar wiejski (5)";1,3;1,0;0,8;0,0;0,0;0,0;
0220000;"Powiat trzebnicki";170,8;183,2;170,4;60,3;60,3;51,4;
0220013;"Oborniki Śląskie (3)";98,4;97,0;96,3;1,7;1,7;3,0;
0220014;"Oborniki Śląskie - miasto (4)";48,0;47,6;47,3;0,9;0,9;2,6;
0220015;"Oborniki Śląskie - obszar wiejski (5)";50,4;49,4;49,0;0,8;0,8;0,4;
0220023;"Prusice (3)";24,6;23,4;20,3;24,6;23,4;20,3;
0220024;"Prusice - miasto (4)";5,3;4,4;3,4;5,3;4,4;3,4;
0220025;"Prusice - obszar wiejski (5)";19,3;19,0;16,9;19,3;19,0;16,9;
0220033;"Trzebnica (3)";1,5;22,7;20,8;0,0;0,0;0,0;
0220034;"Trzebnica - miasto (4)";0,9;19,1;18,2;0,0;0,0;0,0;
0220035;"Trzebnica - obszar wiejski (5)";0,6;3,6;2,6;0,0;0,0;0,0;
0220042;"Wisznia Mała (2)";1,0;0,3;0,2;0,5;0,2;0,1;
0220052;"Zawonia (2)";16,5;16,5;16,5;16,5;16,5;16,5;
0220063;"Żmigród (3)";28,8;23,3;16,3;17,0;18,5;11,5;
0220064;"Żmigród - miasto (4)";12,0;10,0;7,8;10,7;8,7;6,5;
0220065;"Żmigród - obszar wiejski (5)";16,8;13,3;8,5;6,3;9,8;5,0;
0221000;"Powiat wałbrzyski";103,6;100,7;103,1;2,2;2,2;11,0;
0221011;"Boguszów-Gorce (1)";16,0;15,6;15,2;0,0;0,0;0,0;
0221021;"Jedlina-Zdrój (1)";6,4;9,4;8,4;0,0;0,0;0,0;
0221031;"Szczawno-Zdrój (1)";17,4;14,1;20,1;2,2;2,2;11,0;
0221042;"Czarny Bór (2)";38,0;38,0;37,5;0,0;0,0;0,0;
0221053;"Głuszyca (3)";3,2;3,2;3,1;0,0;0,0;0,0;
0221054;"Głuszyca - miasto (4)";0,0;0,5;0,4;0,0;0,0;0,0;
0221055;"Głuszyca - obszar wiejski (5)";3,2;2,7;2,7;0,0;0,0;0,0;
0221063;"Mieroszów (3)";6,4;4,4;2,9;0,0;0,0;0,0;
0221064;"Mieroszów - miasto (4)";4,4;2,8;1,3;0,0;0,0;0,0;
0221065;"Mieroszów - obszar wiejski (5)";2,0;1,6;1,6;0,0;0,0;0,0;
0221082;"Walim (2)";16,2;16,0;15,9;0,0;0,0;0,0;
0222000;"Powiat wołowski";203,9;229,3;226,3;86,3;89,9;89,6;
0222013;"Brzeg Dolny (3)";20,8;52,3;51,6;8,1;15,4;15,3;
0222014;"Brzeg Dolny - miasto (4)";15,2;40,3;39,6;7,3;14,6;14,5;
0222015;"Brzeg Dolny - obszar wiejski (5)";5,6;12,0;12,0;0,8;0,8;0,8;
0222022;"Wińsko (2)";54,4;53,5;52,5;0,6;0,6;0,6;
0222033;"Wołów (3)";128,7;123,5;122,2;77,6;73,9;73,7;
0222034;"Wołów - miasto (4)";58,5;54,8;54,6;47,1;43,4;43,2;
0222035;"Wołów - obszar wiejski (5)";70,2;68,7;67,6;30,5;30,5;30,5;
0223000;"Powiat wrocławski";63,0;56,6;54,4;46,2;40,8;38,6;
0223012;"Czernica (2)";5,1;4,8;4,8;0,0;0,0;0,0;
0223022;"Długołęka (2)";13,2;12,5;12,5;4,2;4,2;4,2;
0223032;"Jordanów Śląski (2)";1,6;1,6;1,2;1,6;1,6;1,2;
0223043;"Kąty Wrocławskie (3)";1,2;1,2;1,2;1,2;1,2;1,2;
0223044;"Kąty Wrocławskie - miasto (4)";0,2;0,2;0,2;0,2;0,2;0,2;
0223045;"Kąty Wrocławskie - obszar wiejski (5)";1,0;1,0;1,0;1,0;1,0;1,0;
0223052;"Kobierzyce (2)";2,7;2,7;2,7;0,0;0,0;0,0;
0223062;"Mietków (2)";1,4;1,4;1,4;1,4;1,4;1,4;
0223073;"Sobótka (3)";34,3;29,9;28,2;34,3;29,9;28,2;
0223074;"Sobótka - miasto (4)";27,4;23,9;22,6;27,4;23,9;22,6;
0223075;"Sobótka - obszar wiejski (5)";6,9;6,0;5,6;6,9;6,0;5,6;
0223083;"Siechnice (3)";2,4;1,8;1,7;2,4;1,8;1,7;
0223084;"Siechnice - miasto (4)";0,1;0,1;0,1;0,1;0,1;0,1;
0223085;"Siechnice - obszar wiejski (5)";2,3;1,7;1,6;2,3;1,7;1,6;
0223092;"Żórawina (2)";1,1;0,7;0,7;1,1;0,7;0,7;
0224000;"Powiat ząbkowicki";75,9;72,7;68,7;14,0;13,3;11,0;
0224013;"Bardo (3)";0,6;0,6;0,6;0,6;0,6;0,6;
0224015;"Bardo - obszar wiejski (5)";0,6;0,6;0,6;0,6;0,6;0,6;
0224022;"Ciepłowody (2)";0,4;0,0;0,0;0,4;0,0;0,0;
0224032;"Kamieniec Ząbkowicki (2)";8,5;;;3,3;;;
0224033;"Kamieniec Ząbkowicki (3)";;8,3;6,5;;3,1;1,3;
0224034;"Kamieniec Ząbkowicki - miasto (4)";;8,3;6,5;;3,1;1,3;
0224042;"Stoszowice (2)";1,6;1,1;0,2;1,6;1,1;0,2;
0224053;"Ząbkowice Śląskie (3)";6,7;5,0;4,0;0,0;0,0;0,0;
0224054;"Ząbkowice Śląskie - miasto (4)";6,7;5,0;4,0;0,0;0,0;0,0;
0224063;"Ziębice (3)";53,0;53,0;53,0;7,9;7,9;7,9;
0224064;"Ziębice - miasto (4)";45,7;45,7;45,7;7,9;7,9;7,9;
0224065;"Ziębice - obszar wiejski (5)";7,3;7,3;7,3;0,0;0,0;0,0;
0224073;"Złoty Stok (3)";5,1;4,7;4,4;0,2;0,6;1,0;
0224074;"Złoty Stok - miasto (4)";5,1;3,1;3,1;0,2;0,2;0,6;
0224075;"Złoty Stok - obszar wiejski (5)";0,0;1,6;1,3;0,0;0,4;0,4;
0225000;"Powiat zgorzelecki";126,3;122,9;119,5;73,1;70,6;68,0;
0225011;"Zawidów (1)";12,9;12,4;12,4;12,9;12,4;12,4;
0225021;"Zgorzelec (1)";47,3;44,3;41,9;12,7;9,6;7,2;
0225033;"Bogatynia (3)";7,0;6,7;5,9;7,0;6,6;5,8;
0225034;"Bogatynia - miasto (4)";5,4;5,2;4,8;5,4;5,1;4,7;
0225035;"Bogatynia - obszar wiejski (5)";1,6;1,5;1,1;1,6;1,5;1,1;
0225043;"Pieńsk (3)";4,3;5,9;7,5;4,3;5,9;7,5;
0225044;"Pieńsk - miasto (4)";3,3;2,9;4,7;3,3;2,9;4,7;
0225045;"Pieńsk - obszar wiejski (5)";1,0;3,0;2,8;1,0;3,0;2,8;
0225052;"Sulików (2)";0,9;0,9;0,9;0,9;0,9;0,9;
0225063;"Węgliniec (3)";47,7;47,5;46,5;35,3;35,2;34,2;
0225064;"Węgliniec - miasto (4)";18,1;18,0;18,0;10,3;10,2;10,2;
0225065;"Węgliniec - obszar wiejski (5)";29,6;29,5;28,5;25,0;25,0;24,0;
0225072;"Zgorzelec (2)";6,2;5,2;4,4;0,0;0,0;0,0;
0226000;"Powiat złotoryjski";89,6;87,1;94,8;35,2;34,7;36,9;
0226011;"Wojcieszów (1)";15,8;15,3;14,8;3,1;3,1;3,1;
0226021;"Złotoryja (1)";29,3;28,1;37,6;22,2;21,8;24,3;
0226032;"Pielgrzymka (2)";2,5;2,5;2,5;0,7;0,7;0,7;
0226043;"Świerzawa (3)";6,1;6,1;5,1;1,1;1,1;1,1;
0226044;"Świerzawa - miasto (4)";1,7;1,7;1,7;0,1;0,1;0,1;
0226045;"Świerzawa - obszar wiejski (5)";4,4;4,4;3,4;1,0;1,0;1,0;
0226052;"Zagrodno (2)";26,5;26,0;26,0;0,0;0,0;0,0;
0226062;"Złotoryja (2)";9,4;9,1;8,8;8,1;8,0;7,7;
0261000;"Powiat m. Jelenia Góra";93,5;87,8;86,0;45,6;39,9;39,9;
0261011;"Jelenia Góra (1)";93,5;87,8;86,0;45,6;39,9;39,9;
0262000;"Powiat m. Legnica";38,1;42,4;42,5;7,1;7,2;8,6;
0262011;"Legnica (1)";38,1;42,4;42,5;7,1;7,2;8,6;
0264000;"Powiat m. Wrocław";160,5;172,1;150,1;160,5;172,1;150,1;
0264011;"Wrocław (1)";160,5;172,1;150,1;160,5;172,1;150,1;
0265000;"Powiat m. Wałbrzych od 2013";123,2;121,4;119,9;0,0;0,0;0,0;
0265011;"Wałbrzych od 2013 (1)";123,2;121,4;119,9;0,0;0,0;0,0;
0400000;"KUJAWSKO-POMORSKIE";607,6;582,2;556,7;199,6;184,9;185,3;
0401000;"Powiat aleksandrowski";6,7;5,2;2,7;2,4;2,0;1,4;
0401011;"Aleksandrów Kujawski (1)";3,3;2,2;0,3;0,0;0,0;0,0;
0401021;"Ciechocinek (1)";0,9;0,9;0,9;0,4;0,4;0,4;
0401031;"Nieszawa (1)";0,4;0,2;0,2;0,4;0,2;0,2;
0401052;"Bądkowo (2)";0,1;0,1;0,1;0,1;0,1;0,1;
0401082;"Waganiec (2)";1,4;1,2;0,6;1,4;1,2;0,6;
0401092;"Zakrzewo (2)";0,6;0,6;0,6;0,1;0,1;0,1;
0402000;"Powiat brodnicki";38,1;38,9;37,5;9,2;11,0;10,4;
0402011;"Brodnica (1)";22,3;22,0;21,6;2,2;1,9;1,5;
0402022;"Bobrowo (2)";8,5;8,0;7,7;3,5;2,8;2,5;
0402032;"Brodnica (2)";3,3;2,1;1,3;0,0;0,0;0,0;
0402053;"Górzno (3)";0,5;0,5;0,5;0,0;0,0;0,0;
0402054;"Górzno - miasto (4)";0,5;0,5;0,5;0,0;0,0;0,0;
0402082;"Osiek (2)";0,0;0,0;0,5;0,0;0,0;0,5;
0402092;"Świedziebnia (2)";0,3;0,3;0,3;0,3;0,3;0,3;
0402102;"Zbiczno (2)";3,2;6,0;5,6;3,2;6,0;5,6;
0403000;"Powiat bydgoski";52,3;44,1;41,9;32,7;25,7;24,5;
0403012;"Białe Błota (2)";5,9;5,0;4,1;0,0;0,0;0,0;
0403022;"Dąbrowa Chełmińska (2)";6,6;6,4;6,3;0,9;0,7;0,7;
0403032;"Dobrcz (2)";0,4;0,1;0,1;0,1;0,1;0,1;
0403043;"Koronowo (3)";2,2;2,1;2,1;2,2;2,1;2,1;
0403044;"Koronowo - miasto (4)";1,7;1,5;1,5;1,7;1,5;1,5;
