"Kod";"Nazwa";"wielorodzinne;2020;[ha]";"wielorodzinne;2021;[ha]";"wielorodzinne;2022;[ha]";"wielorodzinne - uzbrojone;2020;[ha]";"wielorodzinne - uzbrojone;2021;[ha]";"wielorodzinne - uzbrojone;2022;[ha]";
1213000;"Powiat oświęcimski";40,8;40,6;39,4;40,8;40,6;39,4;
1213011;"Oświęcim (1)";39,5;39,3;38,0;39,5;39,3;38,0;
1213023;"Brzeszcze (3)";1,3;1,3;1,4;1,3;1,3;1,4;
1213024;"Brzeszcze - miasto (4)";0,5;0,5;0,5;0,5;0,5;0,5;
1213025;"Brzeszcze - obszar wiejski (5)";0,8;0,8;0,9;0,8;0,8;0,9;
1214000;"Powiat proszowicki";0,0;0,1;0,1;0,0;0,1;0,1;
1214053;"Proszowice (3)";0,0;0,1;0,1;0,0;0,1;0,1;
1214054;"Proszowice - miasto (4)";0,0;0,1;0,1;0,0;0,1;0,1;
1215000;"Powiat suski";0,6;0,6;0,6;0,6;0,6;0,6;
1215021;"Sucha Beskidzka (1)";0,6;0,6;0,6;0,6;0,6;0,6;
1216000;"Powiat tarnowski";0,8;1,3;2,3;0,0;0,4;0,4;
1216013;"Ciężkowice (3)";0,0;0,0;0,5;0,0;0,0;0,0;
1216014;"Ciężkowice - miasto (4)";0,0;0,0;0,5;0,0;0,0;0,0;
1216112;"Wierzchosławice (2)";0,0;0,0;0,5;0,0;0,0;0,0;
1216143;"Zakliczyn (3)";0,8;0,8;0,8;0,0;0,0;0,0;
1216145;"Zakliczyn - obszar wiejski (5)";0,8;0,8;0,8;0,0;0,0;0,0;
1216162;"Szerzyny (2)";0,0;0,5;0,5;0,0;0,4;0,4;
1217000;"Powiat tatrzański";2,7;2,7;2,7;0,5;0,5;0,5;
1217011;"Zakopane (1)";2,7;2,7;2,7;0,5;0,5;0,5;
1218000;"Powiat wadowicki";1,2;0,8;0,8;1,2;0,8;0,8;
1218013;"Andrychów (3)";0,1;0,1;0,1;0,1;0,1;0,1;
1218014;"Andrychów - miasto (4)";0,1;0,1;0,1;0,1;0,1;0,1;
1218033;"Kalwaria Zebrzydowska (3)";0,4;0,0;0,0;0,4;0,0;0,0;
1218034;"Kalwaria Zebrzydowska - miasto (4)";0,4;0,0;0,0;0,4;0,0;0,0;
1218093;"Wadowice (3)";0,7;0,7;0,7;0,7;0,7;0,7;
1218095;"Wadowice - obszar wiejski (5)";0,7;0,7;0,7;0,7;0,7;0,7;
1219000;"Powiat wielicki";8,2;7,8;7,8;7,0;6,6;6,6;
1219053;"Wieliczka (3)";8,2;7,8;7,8;7,0;6,6;6,6;
1219054;"Wieliczka - miasto (4)";8,2;7,8;7,8;7,0;6,6;6,6;
1262000;"Powiat m. Nowy Sącz";0,0;1,5;1,0;0,0;1,2;0,7;
1262011;"Nowy Sącz (1)";0,0;1,5;1,0;0,0;1,2;0,7;
1263000;"Powiat m. Tarnów";12,1;8,9;2,7;1,2;1,2;0,5;
1263011;"Tarnów (1)";12,1;8,9;2,7;1,2;1,2;0,5;
1400000;"MAZOWIECKIE";430,0;423,5;509,7;312,8;307,3;300,8;
1401000;"Powiat białobrzeski";1,1;1,1;1,1;1,1;1,1;1,1;
1401013;"Białobrzegi (3)";1,1;1,1;1,1;1,1;1,1;1,1;
1401014;"Białobrzegi - miasto (4)";1,1;1,1;1,1;1,1;1,1;1,1;
1402000;"Powiat ciechanowski";1,0;1,0;1,0;0,5;0,5;0,5;
1402042;"Gołymin-Ośrodek (2)";0,5;0,5;0,5;0,0;0,0;0,0;
1402072;"Opinogóra Górna (2)";0,4;0,4;0,4;0,4;0,4;0,4;
1402082;"Regimin (2)";0,1;0,1;0,1;0,1;0,1;0,1;
1403000;"Powiat garwoliński";2,5;1,9;1,2;2,5;1,9;1,2;
1403103;"Pilawa (3)";1,3;0,7;0,0;1,3;0,7;0,0;
1403104;"Pilawa - miasto (4)";0,7;0,7;0,0;0,7;0,7;0,0;
1403105;"Pilawa - obszar wiejski (5)";0,6;0,0;0,0;0,6;0,0;0,0;
1403112;"Sobolew (2)";1,2;1,2;1,2;1,2;1,2;1,2;
1404000;"Powiat gostyniński";2,7;2,7;2,7;2,7;2,7;2,7;
1404011;"Gostynin (1)";2,7;2,7;2,7;2,7;2,7;2,7;
1405000;"Powiat grodziski";1,9;2,0;1,9;1,3;1,4;1,3;
1405011;"Milanówek (1)";0,6;0,6;0,6;0,0;0,0;0,0;
1405043;"Grodzisk Mazowiecki (3)";0,0;0,1;0,0;0,0;0,1;0,0;
1405044;"Grodzisk Mazowiecki - miasto (4)";0,0;0,1;0,0;0,0;0,1;0,0;
1405062;"Żabia Wola (2)";1,3;1,3;1,3;1,3;1,3;1,3;
1406000;"Powiat grójecki";0,2;4,2;4,2;0,2;4,2;4,2;
1406053;"Grójec (3)";0,2;0,2;0,2;0,2;0,2;0,2;
1406054;"Grójec - miasto (4)";0,2;0,2;0,2;0,2;0,2;0,2;
1406083;"Nowe Miasto nad Pilicą (3)";0,0;4,0;4,0;0,0;4,0;4,0;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";0,0;4,0;4,0;0,0;4,0;4,0;
1407000;"Powiat kozienicki";1,4;0,6;0,8;1,4;0,6;0,8;
1407053;"Kozienice (3)";1,4;0,6;0,8;1,4;0,6;0,8;
1407054;"Kozienice - miasto (4)";1,4;0,6;0,8;1,4;0,6;0,8;
1408000;"Powiat legionowski";8,2;8,2;8,2;1,7;1,7;1,7;
1408011;"Legionowo (1)";5,7;5,7;5,7;0,0;0,0;0,0;
1408022;"Jabłonna (2)";1,5;1,5;1,5;0,7;0,7;0,7;
1408032;"Nieporęt (2)";1,0;1,0;1,0;1,0;1,0;1,0;
1411000;"Powiat makowski";0,2;0,2;0,2;0,2;0,2;0,2;
1411073;"Różan (3)";0,2;0,2;0,2;0,2;0,2;0,2;
1411074;"Różan - miasto (4)";0,2;0,2;0,2;0,2;0,2;0,2;
1412000;"Powiat miński";5,5;4,9;4,9;5,5;4,9;4,9;
1412011;"Mińsk Mazowiecki (1)";4,9;4,9;4,9;4,9;4,9;4,9;
1412132;"Siennica (2)";0,6;0,0;0,0;0,6;0,0;0,0;
1413000;"Powiat mławski";2,2;2,0;2,2;0,5;0,3;0,3;
1413011;"Mława (1)";2,1;1,9;2,1;0,4;0,2;0,2;
1413032;"Lipowiec Kościelny (2)";0,1;0,1;0,1;0,1;0,1;0,1;
1414000;"Powiat nowodworski";12,5;12,5;13,6;12,5;12,5;13,6;
1414011;"Nowy Dwór Mazowiecki (1)";12,5;12,5;12,5;12,5;12,5;12,5;
1414063;"Zakroczym (3)";0,0;0,0;1,1;0,0;0,0;1,1;
1414064;"Zakroczym - miasto (4)";0,0;0,0;1,1;0,0;0,0;1,1;
1416000;"Powiat ostrowski";2,5;2,5;2,5;2,5;2,5;2,5;
1416011;"Ostrów Mazowiecka (1)";1,1;1,1;1,1;1,1;1,1;1,1;
1416062;"Nur (2)";1,4;1,4;1,4;1,4;1,4;1,4;
1417000;"Powiat otwocki";6,5;5,3;5,2;6,5;5,3;5,2;
1417011;"Józefów (1)";1,7;0,9;0,9;1,7;0,9;0,9;
1417021;"Otwock (1)";4,8;4,4;4,3;4,8;4,4;4,3;
1418000;"Powiat piaseczyński";7,0;8,5;6,9;4,9;6,4;4,6;
1418013;"Góra Kalwaria (3)";3,8;3,8;3,4;2,2;2,2;1,8;
1418014;"Góra Kalwaria - miasto (4)";2,6;2,6;2,6;1,0;1,0;1,0;
1418015;"Góra Kalwaria - obszar wiejski (5)";1,2;1,2;0,8;1,2;1,2;0,8;
1418023;"Konstancin-Jeziorna (3)";0,0;0,2;0,0;0,0;0,2;0,0;
1418024;"Konstancin-Jeziorna - miasto (4)";0,0;0,2;0,0;0,0;0,2;0,0;
1418043;"Piaseczno (3)";3,2;4,5;3,5;2,7;4,0;2,8;
1418044;"Piaseczno - miasto (4)";2,6;4,0;3,0;2,5;3,9;2,7;
1418045;"Piaseczno - obszar wiejski (5)";0,6;0,5;0,5;0,2;0,1;0,1;
1419000;"Powiat płocki";2,7;2,5;2,5;2,7;2,5;2,5;
1419053;"Drobin (3)";1,4;1,4;1,4;1,4;1,4;1,4;
1419054;"Drobin - miasto (4)";1,4;1,4;1,4;1,4;1,4;1,4;
1419063;"Gąbin (3)";1,3;1,1;1,1;1,3;1,1;1,1;
1419064;"Gąbin - miasto (4)";1,3;1,1;1,1;1,3;1,1;1,1;
1420000;"Powiat płoński";3,1;4,0;3,4;2,5;2,6;2,1;
1420011;"Płońsk (1)";3,1;4,0;3,4;2,5;2,6;2,1;
1421000;"Powiat pruszkowski";7,4;2,8;2,8;7,4;2,8;2,8;
1421011;"Piastów (1)";1,0;0,8;0,8;1,0;0,8;0,8;
1421021;"Pruszków (1)";4,4;0,0;0,0;4,4;0,0;0,0;
1421062;"Raszyn (2)";2,0;2,0;2,0;2,0;2,0;2,0;
1423000;"Powiat przysuski";0,5;0,5;0,0;0,5;0,5;0,0;
1423082;"Wieniawa (2)";0,5;0,5;0,0;0,5;0,5;0,0;
1424000;"Powiat pułtuski";1,4;1,7;1,7;1,4;1,7;1,7;
1424062;"Winnica (2)";1,4;1,7;1,7;1,4;1,7;1,7;
1425000;"Powiat radomski";8,5;8,5;8,5;8,5;8,5;8,5;
1425033;"Iłża (3)";1,0;1,0;1,0;1,0;1,0;1,0;
1425034;"Iłża - miasto (4)";1,0;1,0;1,0;1,0;1,0;1,0;
1425112;"Wierzbica (2)";7,5;7,5;7,5;7,5;7,5;7,5;
1427000;"Powiat sierpecki";3,9;3,6;3,6;3,9;3,6;3,6;
1427011;"Sierpc (1)";3,9;3,6;3,6;3,9;3,6;3,6;
1428000;"Powiat sochaczewski";3,1;3,1;3,1;3,1;3,1;3,1;
1428011;"Sochaczew (1)";3,1;3,1;3,1;3,1;3,1;3,1;
1429000;"Powiat sokołowski";0,5;0,0;0,0;0,5;0,0;0,0;
1429011;"Sokołów Podlaski (1)";0,5;0,0;0,0;0,5;0,0;0,0;
1432000;"Powiat warszawski zachodni";3,5;3,5;2,7;3,5;3,5;2,7;
1432013;"Błonie (3)";0,6;0,6;0,6;0,6;0,6;0,6;
1432014;"Błonie - miasto (4)";0,6;0,6;0,6;0,6;0,6;0,6;
1432053;"Łomianki (3)";1,8;1,8;1,8;1,8;1,8;1,8;
1432054;"Łomianki - miasto (4)";1,2;1,2;1,2;1,2;1,2;1,2;
1432055;"Łomianki - obszar wiejski (5)";0,6;0,6;0,6;0,6;0,6;0,6;
1432063;"Ożarów Mazowiecki (3)";0,8;0,8;0,0;0,8;0,8;0,0;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";0,8;0,8;0,0;0,8;0,8;0,0;
1432072;"Stare Babice (2)";0,3;0,3;0,3;0,3;0,3;0,3;
1433000;"Powiat węgrowski";3,2;1,6;1,3;3,0;1,4;1,1;
1433011;"Węgrów (1)";1,6;1,6;1,3;1,4;1,4;1,1;
1433053;"Łochów (3)";1,6;0,0;0,0;1,6;0,0;0,0;
1433054;"Łochów - miasto (4)";1,6;0,0;0,0;1,6;0,0;0,0;
1434000;"Powiat wołomiński";4,5;6,7;4,3;4,2;6,6;4,2;
1434011;"Kobyłka (1)";1,3;1,3;1,3;1,3;1,3;1,3;
1434021;"Marki (1)";1,7;1,7;1,7;1,7;1,7;1,7;
1434031;"Ząbki (1)";0,1;0,1;0,1;0,0;0,0;0,0;
1434041;"Zielonka (1)";0,9;0,9;0,9;0,9;0,9;0,9;
1434072;"Klembów (2)";0,0;0,2;0,2;0,0;0,2;0,2;
1434123;"Wołomin (3)";0,5;2,5;0,1;0,3;2,5;0,1;
1434124;"Wołomin - miasto (4)";0,5;2,5;0,1;0,3;2,5;0,1;
1435000;"Powiat wyszkowski";0,7;0,7;1,3;0,7;0,7;1,3;
1435053;"Wyszków (3)";0,7;0,7;1,3;0,7;0,7;1,3;
1435054;"Wyszków - miasto (4)";0,7;0,7;1,3;0,7;0,7;1,3;
1437000;"Powiat żuromiński";0,5;0,5;0,0;0,0;0,0;0,0;
1437033;"Lubowidz (3)";0,5;0,5;0,0;0,0;0,0;0,0;
1437034;"Lubowidz - miasto (4)";0,5;0,5;0,0;0,0;0,0;0,0;
1438000;"Powiat żyrardowski";11,6;10,5;9,9;11,3;10,2;9,6;
1438011;"Żyrardów (1)";11,6;10,5;9,9;11,3;10,2;9,6;
1462000;"Powiat m. Płock";23,2;23,2;23,0;2,0;2,0;1,8;
1462011;"Płock (1)";23,2;23,2;23,0;2,0;2,0;1,8;
1463000;"Powiat m. Radom";0,0;0,0;87,5;0,0;0,0;0,0;
1463011;"Radom (1)";0,0;0,0;87,5;0,0;0,0;0,0;
1465000;"Powiat m. st. Warszawa";296,3;292,5;297,5;213,6;211,4;211,0;
1465011;"M.st.Warszawa od 2002 (1)";296,3;292,5;297,5;213,6;211,4;211,0;
1465028;"Bemowo - dzielnica (8)";0,8;0,4;0,2;0,8;0,4;0,2;
1465038;"Białołęka - dzielnica (8)";51,8;51,8;52,1;51,8;51,8;52,1;
1465048;"Bielany - dzielnica (8)";15,1;13,8;13,7;15,1;13,8;13,7;
1465058;"Mokotów - dzielnica (8)";38,9;38,9;37,0;26,9;26,9;25,0;
1465078;"Praga-Południe - dzielnica (8)";30,5;30,5;30,5;30,5;30,5;30,5;
1465098;"Rembertów - dzielnica (8)";0,0;0,0;4,5;0,0;0,0;2,7;
1465118;"Targówek - dzielnica (8)";1,7;1,6;1,4;0,0;0,0;0,0;
1465128;"Ursus - dzielnica (8)";0,6;0,6;0,6;0,6;0,6;0,6;
1465138;"Ursynów - dzielnica (8)";0,6;0,5;0,5;0,0;0,0;0,0;
1465148;"Wawer - dzielnica (8)";60,9;59,5;63,3;0,0;0,0;0,0;
1465168;"Wilanów - dzielnica (8)";0,3;0,3;0,3;0,3;0,3;0,3;
1465178;"Włochy - dzielnica (8)";83,1;82,6;81,4;83,1;82,6;81,4;
1465198;"Żoliborz - dzielnica (8)";12,0;12,0;12,0;4,5;4,5;4,5;
1600000;"OPOLSKIE";135,2;142,4;144,3;30,0;37,0;38,4;
1601000;"Powiat brzeski";7,3;7,9;7,9;1,5;2,4;2,4;
1601011;"Brzeg (1)";6,4;5,9;5,9;0,8;0,8;0,8;
1601022;"Skarbimierz (2)";0,0;0,9;0,9;0,0;0,9;0,9;
1601033;"Grodków (3)";0,7;0,7;0,7;0,7;0,7;0,7;
1601034;"Grodków - miasto (4)";0,7;0,7;0,7;0,7;0,7;0,7;
1601043;"Lewin Brzeski (3)";0,2;0,4;0,4;0,0;0,0;0,0;
1601044;"Lewin Brzeski - miasto (4)";0,2;0,4;0,4;0,0;0,0;0,0;
1602000;"Powiat głubczycki";14,4;13,5;15,3;2,4;1,5;3,0;
1602022;"Branice (2)";0,0;0,0;0,3;0,0;0,0;0,0;
1602033;"Głubczyce (3)";13,4;13,4;13,4;1,4;1,4;1,4;
1602034;"Głubczyce - miasto (4)";13,4;13,4;13,4;1,4;1,4;1,4;
1602043;"Kietrz (3)";1,0;0,1;1,6;1,0;0,1;1,6;
1602044;"Kietrz - miasto (4)";1,0;0,1;1,6;1,0;0,1;1,6;
1603000;"Powiat kędzierzyńsko-kozielski";1,3;1,3;0,9;1,3;1,3;0,9;
1603022;"Bierawa (2)";1,3;1,3;0,9;1,3;1,3;0,9;
1604000;"Powiat kluczborski";12,9;12,4;11,8;3,4;2,9;2,9;
1604023;"Kluczbork (3)";2,8;2,3;1,9;1,5;1,0;1,0;
1604024;"Kluczbork - miasto (4)";2,0;1,5;1,1;0,7;0,2;0,2;
1604025;"Kluczbork - obszar wiejski (5)";0,8;0,8;0,8;0,8;0,8;0,8;
1604043;"Wołczyn (3)";10,1;10,1;9,9;1,9;1,9;1,9;
1604044;"Wołczyn - miasto (4)";10,1;10,1;9,9;1,9;1,9;1,9;
1605000;"Powiat krapkowicki";2,5;1,9;2,5;2,5;1,9;1,9;
1605013;"Gogolin (3)";0,2;0,0;0,0;0,2;0,0;0,0;
1605014;"Gogolin - miasto (4)";0,2;0,0;0,0;0,2;0,0;0,0;
1605042;"Walce (2)";1,0;1,0;1,0;1,0;1,0;1,0;
1605053;"Zdzieszowice (3)";1,3;0,9;1,5;1,3;0,9;0,9;
1605054;"Zdzieszowice - miasto (4)";1,3;0,9;1,5;1,3;0,9;0,9;
1607000;"Powiat nyski";44,8;44,8;45,2;4,6;4,6;4,6;
1607013;"Głuchołazy (3)";0,1;0,1;0,1;0,1;0,1;0,1;
1607014;"Głuchołazy - miasto (4)";0,1;0,1;0,1;0,1;0,1;0,1;
1607033;"Korfantów (3)";0,3;0,3;0,3;0,3;0,3;0,3;
1607034;"Korfantów - miasto (4)";0,3;0,3;0,3;0,3;0,3;0,3;
1607053;"Nysa (3)";41,8;41,8;41,8;1,8;1,8;1,8;
1607054;"Nysa - miasto (4)";41,8;41,8;41,8;1,8;1,8;1,8;
1607063;"Otmuchów (3)";0,0;0,0;0,4;0,0;0,0;0,0;
1607065;"Otmuchów - obszar wiejski (5)";0,0;0,0;0,4;0,0;0,0;0,0;
1607073;"Paczków (3)";2,6;2,6;2,6;2,4;2,4;2,4;
1607074;"Paczków - miasto (4)";2,6;2,6;2,6;2,4;2,4;2,4;
1608000;"Powiat oleski";22,2;22,2;22,2;0,0;0,0;0,0;
1608033;"Olesno (3)";7,6;7,6;7,6;0,0;0,0;0,0;
1608034;"Olesno - miasto (4)";7,6;7,6;7,6;0,0;0,0;0,0;
1608043;"Praszka (3)";14,6;14,6;14,6;0,0;0,0;0,0;
1608044;"Praszka - miasto (4)";14,6;14,6;14,6;0,0;0,0;0,0;
1609000;"Powiat opolski";5,4;5,4;5,4;5,4;5,4;5,4;
1609073;"Niemodlin (3)";3,7;3,7;3,7;3,7;3,7;3,7;
1609074;"Niemodlin - miasto (4)";1,5;1,5;1,5;1,5;1,5;1,5;
1609075;"Niemodlin - obszar wiejski (5)";2,2;2,2;2,2;2,2;2,2;2,2;
1609123;"Tułowice (3)";1,7;1,7;1,7;1,7;1,7;1,7;
1609124;"Tułowice - miasto (4)";1,7;1,7;1,7;1,7;1,7;1,7;
1610000;"Powiat prudnicki";13,5;13,3;12,4;2,9;2,9;2,8;
1610013;"Biała (3)";0,3;0,3;0,3;0,3;0,3;0,3;
1610014;"Biała - miasto (4)";0,3;0,3;0,3;0,3;0,3;0,3;
1610023;"Głogówek (3)";2,6;2,6;2,5;2,6;2,6;2,5;
1610024;"Głogówek - miasto (4)";2,6;2,6;2,5;2,6;2,6;2,5;
1610043;"Prudnik (3)";10,6;10,4;9,6;0,0;0,0;0,0;
1610044;"Prudnik - miasto (4)";10,6;10,4;9,6;0,0;0,0;0,0;
1611000;"Powiat strzelecki";6,3;6,3;6,1;4,3;4,3;4,1;
1611012;"Izbicko (2)";0,3;0,3;0,3;0,3;0,3;0,3;
1611033;"Kolonowskie (3)";0,8;0,8;0,6;0,8;0,8;0,6;
1611034;"Kolonowskie - miasto (4)";0,8;0,8;0,6;0,8;0,8;0,6;
1611043;"Leśnica (3)";0,5;0,5;0,5;0,5;0,5;0,5;
1611044;"Leśnica - miasto (4)";0,5;0,5;0,5;0,5;0,5;0,5;
1611053;"Strzelce Opolskie (3)";4,6;4,6;4,6;2,6;2,6;2,6;
1611054;"Strzelce Opolskie - miasto (4)";4,6;4,6;4,6;2,6;2,6;2,6;
1611073;"Zawadzkie (3)";0,1;0,1;0,1;0,1;0,1;0,1;
1611074;"Zawadzkie - miasto (4)";0,1;0,1;0,1;0,1;0,1;0,1;
1661000;"Powiat m. Opole";4,6;13,4;14,6;1,7;9,8;10,4;
1661011;"Opole (1)";4,6;13,4;14,6;1,7;9,8;10,4;
1800000;"PODKARPACKIE";71,2;69,7;75,4;27,2;27,9;33,1;
1801000;"Powiat bieszczadzki";2,1;2,1;2,4;2,1;2,1;2,4;
1801083;"Ustrzyki Dolne (3)";2,1;2,1;2,4;2,1;2,1;2,4;
1801084;"Ustrzyki Dolne - miasto (4)";2,1;2,1;2,4;2,1;2,1;2,4;
1802000;"Powiat brzozowski";3,4;3,4;3,4;0,0;0,0;0,0;
1802013;"Brzozów (3)";3,4;3,4;3,4;0,0;0,0;0,0;
1802014;"Brzozów - miasto (4)";3,4;3,4;3,4;0,0;0,0;0,0;
1803000;"Powiat dębicki";0,8;0,8;0,8;0,8;0,8;0,8;
1803011;"Dębica (1)";0,8;0,8;0,8;0,8;0,8;0,8;
1804000;"Powiat jarosławski";2,9;2,9;2,9;0,2;0,2;0,2;
1804011;"Jarosław (1)";2,8;2,8;2,8;0,1;0,1;0,1;
1804042;"Jarosław (2)";0,1;0,1;0,1;0,1;0,1;0,1;
1805000;"Powiat jasielski";0,0;0,0;0,1;0,0;0,0;0,0;
1805011;"Jasło (1)";0,0;0,0;0,1;0,0;0,0;0,0;
1806000;"Powiat kolbuszowski";0,0;0,8;0,0;0,0;0,8;0,0;
1806023;"Kolbuszowa (3)";0,0;0,8;0,0;0,0;0,8;0,0;
1806024;"Kolbuszowa - miasto (4)";0,0;0,8;0,0;0,0;0,8;0,0;
1808000;"Powiat leżajski";0,7;0,6;0,6;0,7;0,6;0,6;
1808053;"Nowa Sarzyna (3)";0,7;0,6;0,6;0,7;0,6;0,6;
1808054;"Nowa Sarzyna - miasto (4)";0,7;0,6;0,6;0,7;0,6;0,6;
1809000;"Powiat lubaczowski";16,2;16,2;16,2;15,0;15,0;15,0;
1809011;"Lubaczów (1)";15,0;15,0;15,0;15,0;15,0;15,0;
1809023;"Cieszanów (3)";1,2;1,2;1,2;0,0;0,0;0,0;
1809024;"Cieszanów - miasto (4)";1,2;1,2;1,2;0,0;0,0;0,0;
1811000;"Powiat mielecki";11,5;9,3;9,3;5,4;3,2;3,2;
1811011;"Mielec (1)";11,1;8,9;8,9;5,0;2,8;2,8;
1811083;"Radomyśl Wielki (3)";0,4;0,4;0,4;0,4;0,4;0,4;
1811084;"Radomyśl Wielki - miasto (4)";0,4;0,4;0,4;0,4;0,4;0,4;
1812000;"Powiat niżański";0,0;0,0;1,5;0,0;0,0;1,5;
1812053;"Nisko (3)";0,0;0,0;1,5;0,0;0,0;1,5;
1812054;"Nisko - miasto (4)";0,0;0,0;1,5;0,0;0,0;1,5;
1813000;"Powiat przemyski";0,7;0,7;0,7;0,7;0,7;0,7;
1813092;"Stubno (2)";0,7;0,7;0,7;0,7;0,7;0,7;
1814000;"Powiat przeworski";0,2;0,2;0,0;0,2;0,2;0,0;
1814073;"Sieniawa (3)";0,2;0,2;0,0;0,2;0,2;0,0;
1814074;"Sieniawa - miasto (4)";0,2;0,2;0,0;0,2;0,2;0,0;
1815000;"Powiat ropczycko-sędziszowski";0,1;0,3;0,3;0,1;0,3;0,3;
1815033;"Ropczyce (3)";0,1;0,3;0,3;0,1;0,3;0,3;
1815034;"Ropczyce - miasto (4)";0,1;0,3;0,3;0,1;0,3;0,3;
1816000;"Powiat rzeszowski";1,6;4,5;7,4;0,2;0,2;4,1;
1816011;"Dynów (1)";0,2;0,2;0,2;0,2;0,2;0,2;
1816023;"Błażowa (3)";1,4;1,4;1,4;0,0;0,0;0,0;
1816024;"Błażowa - miasto (4)";1,4;1,4;1,4;0,0;0,0;0,0;
1816063;"Głogów Małopolski (3)";0,0;2,9;1,9;0,0;0,0;0,0;
1816064;"Głogów Małopolski - miasto (4)";0,0;2,9;1,9;0,0;0,0;0,0;
1816132;"Trzebownisko (2)";0,0;0,0;3,9;0,0;0,0;3,9;
1817000;"Powiat sanocki";0,6;0,3;0,8;0,6;0,3;0,8;
1817011;"Sanok (1)";0,3;0,3;0,8;0,3;0,3;0,8;
1817042;"Komańcza (2)";0,3;0,0;0,0;0,3;0,0;0,0;
1818000;"Powiat stalowowolski";4,0;4,0;4,0;0,0;2,0;2,0;
1818011;"Stalowa Wola (1)";4,0;4,0;4,0;0,0;2,0;2,0;
1820000;"Powiat tarnobrzeski";0,1;0,4;0,4;0,1;0,4;0,4;
1820043;"Nowa Dęba (3)";0,1;0,4;0,4;0,1;0,4;0,4;
1820044;"Nowa Dęba - miasto (4)";0,1;0,4;0,4;0,1;0,4;0,4;
1861000;"Powiat m. Krosno";1,1;1,1;1,1;1,1;1,1;1,1;
1861011;"Krosno (1)";1,1;1,1;1,1;1,1;1,1;1,1;
1862000;"Powiat m. Przemyśl";1,7;0,4;1,8;0,0;0,0;0,0;
1862011;"Przemyśl (1)";1,7;0,4;1,8;0,0;0,0;0,0;
1863000;"Powiat m. Rzeszów";23,5;21,7;21,7;0,0;0,0;0,0;
1863011;"Rzeszów (1)";23,5;21,7;21,7;0,0;0,0;0,0;
2000000;"PODLASKIE";67,2;64,6;65,4;54,6;54,6;55,4;
2001000;"Powiat augustowski";4,3;4,3;4,3;4,3;4,3;4,3;
2001011;"Augustów (1)";4,3;4,3;4,3;4,3;4,3;4,3;
2002000;"Powiat białostocki";10,7;9,6;11,4;10,7;9,6;11,4;
2002023;"Czarna Białostocka (3)";2,5;2,5;2,5;2,5;2,5;2,5;
2002024;"Czarna Białostocka - miasto (4)";2,5;2,5;2,5;2,5;2,5;2,5;
2002042;"Gródek (2)";0,0;0,0;1,8;0,0;0,0;1,8;
2002063;"Łapy (3)";1,8;1,5;1,5;1,8;1,5;1,5;
2002064;"Łapy - miasto (4)";1,8;1,5;1,5;1,8;1,5;1,5;
2002123;"Tykocin (3)";0,3;0,3;0,3;0,3;0,3;0,3;
2002124;"Tykocin - miasto (4)";0,3;0,3;0,3;0,3;0,3;0,3;
2002133;"Wasilków (3)";6,1;5,3;5,3;6,1;5,3;5,3;
2002134;"Wasilków - miasto (4)";6,1;5,3;5,3;6,1;5,3;5,3;
2003000;"Powiat bielski";2,2;2,2;2,2;2,2;2,2;2,2;
2003011;"Bielsk Podlaski (1)";2,2;2,2;2,2;2,2;2,2;2,2;
2004000;"Powiat grajewski";11,7;11,7;11,7;11,7;11,7;11,7;
2004011;"Grajewo (1)";11,7;11,7;11,7;11,7;11,7;11,7;
2005000;"Powiat hajnowski";0,5;0,5;0,5;0,5;0,5;0,5;
2005092;"Narewka (2)";0,5;0,5;0,5;0,5;0,5;0,5;
2006000;"Powiat kolneński";1,2;1,2;1,2;1,2;1,2;1,2;
2006053;"Stawiski (3)";1,2;1,2;1,2;1,2;1,2;1,2;
2006054;"Stawiski - miasto (4)";1,2;1,2;1,2;1,2;1,2;1,2;
2007000;"Powiat łomżyński";1,0;1,0;1,0;0,0;1,0;1,0;
2007013;"Jedwabne (3)";1,0;1,0;1,0;0,0;1,0;1,0;
2007014;"Jedwabne - miasto (4)";1,0;1,0;1,0;0,0;1,0;1,0;
2008000;"Powiat moniecki";0,0;0,9;0,9;0,0;0,9;0,9;
2008063;"Mońki (3)";0,0;0,9;0,9;0,0;0,9;0,9;
2008064;"Mońki - miasto (4)";0,0;0,9;0,9;0,0;0,9;0,9;
2009000;"Powiat sejneński";1,2;1,2;1,2;0,1;0,1;0,1;
2009011;"Sejny (1)";0,8;0,8;0,8;0,0;0,0;0,0;
2009042;"Puńsk (2)";0,3;0,3;0,3;0,0;0,0;0,0;
2009052;"Sejny (2)";0,1;0,1;0,1;0,1;0,1;0,1;
2010000;"Powiat siemiatycki";13,0;10,5;10,5;2,7;2,7;2,7;
2010011;"Siemiatycze (1)";10,3;7,8;7,8;0,0;0,0;0,0;
2010062;"Milejczyce (2)";2,4;2,4;2,4;2,4;2,4;2,4;
2010072;"Nurzec-Stacja (2)";0,3;0,3;0,3;0,3;0,3;0,3;
2011000;"Powiat sokólski";4,1;4,1;4,1;4,1;4,1;4,1;
2011013;"Dąbrowa Białostocka (3)";0,2;0,2;0,2;0,2;0,2;0,2;
2011014;"Dąbrowa Białostocka - miasto (4)";0,2;0,2;0,2;0,2;0,2;0,2;
