"Kod";"Nazwa";"liczba imprez;ogółem;2013;[-]";"liczba imprez;ogółem;2014;[-]";"liczba imprez;ogółem;2015;[-]";"liczba imprez;ogółem;2016;[-]";"liczba imprez;ogółem;2017;[-]";"liczba imprez;ogółem;2018;[-]";"liczba imprez;ogółem;2019;[-]";"liczba imprez;ogółem;2020;[-]";"liczba imprez;ogółem;2021;[-]";"liczba imprez;ogółem;2022;[-]";
0607102;"Zakrzówek (2)";0;0;0;1;0;1;0;0;0;0;
0608000;"Powiat lubartowski";4;8;5;3;4;5;7;0;1;3;
0608011;"Lubartów (1)";2;3;4;3;3;3;5;0;1;2;
0608022;"Abramów (2)";1;0;0;0;0;1;0;0;0;0;
0608032;"Firlej (2)";1;0;1;0;0;0;1;0;0;0;
0608063;"Kock (3)";0;4;0;0;1;0;0;0;0;0;
0608064;"Kock - miasto (4)";0;4;0;0;1;0;0;0;0;0;
0608092;"Niedźwiada (2)";0;1;0;0;0;1;0;0;0;0;
0608103;"Ostrów Lubelski (3)";0;0;0;0;0;0;1;0;0;0;
0608104;"Ostrów Lubelski - miasto (4)";0;0;0;0;0;0;1;0;0;0;
0608132;"Uścimów (2)";0;0;0;0;0;0;0;0;0;1;
0609000;"Powiat lubelski";11;10;11;5;7;6;6;0;0;4;
0609013;"Bełżyce (3)";0;0;0;0;1;1;1;0;0;1;
0609014;"Bełżyce - miasto (4)";0;0;0;0;1;1;1;0;0;1;
0609033;"Bychawa (3)";2;1;1;1;1;1;1;0;0;0;
0609034;"Bychawa - miasto (4)";2;1;1;1;1;1;1;0;0;0;
0609052;"Głusk (2)";0;5;5;1;1;1;1;0;0;0;
0609062;"Jabłonna (2)";1;0;0;0;0;0;0;0;0;0;
0609082;"Konopnica (2)";1;0;2;1;1;1;1;0;0;1;
0609112;"Niemce (2)";2;3;2;1;2;1;1;0;0;1;
0609132;"Wojciechów (2)";1;1;1;1;1;1;1;0;0;1;
0609142;"Wólka (2)";4;0;0;0;0;0;0;0;0;0;
0610000;"Powiat łęczyński";22;22;24;23;20;25;21;3;13;19;
0610012;"Cyców (2)";0;0;1;2;1;1;1;0;0;0;
0610022;"Ludwin (2)";1;0;0;0;0;0;0;0;0;0;
0610033;"Łęczna (3)";21;21;22;21;18;24;20;3;13;19;
0610034;"Łęczna - miasto (4)";21;21;22;21;18;24;20;3;13;19;
0610042;"Milejów (2)";0;0;0;0;1;0;0;0;0;0;
0610052;"Puchaczów (2)";0;1;0;0;0;0;0;0;0;0;
0610062;"Spiczyn (2)";0;0;1;0;0;0;0;0;0;0;
0611000;"Powiat łukowski";5;6;6;5;5;6;6;0;0;5;
0611011;"Łuków (1)";2;1;1;1;2;2;3;0;0;2;
0611032;"Adamów (2)";1;2;2;2;1;2;2;0;0;0;
0611042;"Krzywda (2)";2;2;2;2;2;2;1;0;0;1;
0611112;"Wola Mysłowska (2)";0;1;1;0;0;0;0;0;0;2;
0612000;"Powiat opolski";3;3;3;4;5;6;6;0;0;2;
0612012;"Chodel (2)";1;1;1;1;1;2;2;0;0;0;
0612022;"Józefów nad Wisłą (2)";1;1;1;1;1;;;;;;
0612023;"Józefów nad Wisłą (3)";;;;;;1;1;0;0;0;
0612024;"Józefów nad Wisłą - miasto (4)";;;;;;1;1;0;0;0;
0612053;"Opole Lubelskie (3)";1;1;1;1;1;1;1;0;0;1;
0612054;"Opole Lubelskie - miasto (4)";1;1;1;1;1;1;1;0;0;1;
0612063;"Poniatowa (3)";0;0;0;1;1;1;1;0;0;1;
0612064;"Poniatowa - miasto (4)";0;0;0;1;1;1;1;0;0;1;
0612072;"Wilków (2)";0;0;0;0;1;1;1;0;0;0;
0613000;"Powiat parczewski";2;2;1;1;1;1;1;0;0;1;
0613043;"Parczew (3)";2;2;1;1;1;1;1;0;0;1;
0613044;"Parczew - miasto (4)";2;2;1;1;1;1;1;0;0;1;
0614000;"Powiat puławski";5;6;29;36;45;41;30;5;23;26;
0614011;"Puławy (1)";4;4;25;34;43;39;27;5;21;24;
0614043;"Kazimierz Dolny (3)";1;2;2;2;2;2;2;0;2;2;
0614044;"Kazimierz Dolny - miasto (4)";1;2;2;2;2;2;2;0;2;2;
0614052;"Końskowola (2)";0;0;1;0;0;0;0;0;0;0;
0614062;"Kurów (2)";0;0;0;0;0;0;1;0;0;0;
0614102;"Wąwolnica (2)";0;0;1;0;0;0;0;0;0;0;
0615000;"Powiat radzyński";1;1;0;4;2;3;2;0;0;1;
0615011;"Radzyń Podlaski (1)";1;1;0;4;1;3;2;0;0;0;
0615022;"Borki (2)";0;0;0;0;0;0;0;0;0;1;
0615072;"Ulan-Majorat (2)";0;0;0;0;1;0;0;0;0;0;
0616000;"Powiat rycki";0;4;3;1;3;5;4;0;0;3;
0616011;"Dęblin (1)";0;0;2;0;1;3;1;0;0;2;
0616022;"Kłoczew (2)";0;0;0;0;1;0;0;0;0;0;
0616043;"Ryki (3)";0;0;1;1;1;2;2;0;0;1;
0616044;"Ryki - miasto (4)";0;0;1;1;1;2;2;0;0;1;
0616052;"Stężyca (2)";0;2;0;0;0;0;1;0;0;0;
0616062;"Ułęż (2)";0;2;0;0;0;0;0;0;0;0;
0617000;"Powiat świdnicki";2;6;4;3;4;4;5;0;0;2;
0617011;"Świdnik (1)";2;3;3;2;3;4;5;0;0;2;
0617022;"Mełgiew (2)";0;1;1;0;0;0;0;0;0;0;
0617033;"Piaski (3)";0;1;0;0;0;0;0;0;0;0;
0617034;"Piaski - miasto (4)";0;1;0;0;0;0;0;0;0;0;
0617042;"Rybczewice (2)";0;1;0;1;1;0;0;0;0;0;
0618000;"Powiat tomaszowski";3;2;0;0;3;6;4;0;2;3;
0618011;"Tomaszów Lubelski (1)";0;0;0;0;1;2;2;0;2;0;
0618022;"Bełżec (2)";0;0;0;0;1;1;0;0;0;1;
0618052;"Lubycza Królewska (2)";2;1;0;;;;;;;;
0618053;"Lubycza Królewska (3)";;;;0;0;2;0;0;0;1;
0618054;"Lubycza Królewska - miasto (4)";;;;0;0;2;0;0;0;1;
0618063;"Łaszczów (3)";0;0;0;0;0;0;1;0;0;0;
0618064;"Łaszczów - miasto (4)";0;0;0;0;0;0;1;0;0;0;
0618082;"Susiec (2)";0;0;0;0;1;1;1;0;0;1;
0618132;"Ulhówek (2)";1;1;0;0;0;0;0;0;0;0;
0619000;"Powiat włodawski";1;3;2;4;3;3;3;0;1;1;
0619011;"Włodawa (1)";0;0;0;0;1;0;0;0;0;0;
0619022;"Hanna (2)";0;0;0;2;0;0;0;0;0;0;
0619042;"Stary Brus (2)";0;1;0;1;0;1;1;0;0;1;
0619052;"Urszulin (2)";0;1;1;0;1;1;1;0;0;0;
0619072;"Wola Uhruska (2)";1;1;1;1;1;1;1;0;1;0;
0620000;"Powiat zamojski";4;3;1;7;4;8;8;1;2;45;
0620032;"Komarów-Osada (2)";1;0;0;1;0;1;2;1;2;0;
0620043;"Krasnobród (3)";0;0;0;0;0;1;1;0;0;0;
0620044;"Krasnobród - miasto (4)";0;0;0;0;0;1;1;0;0;0;
0620052;"Łabunie (2)";0;0;0;0;0;0;0;0;0;40;
0620072;"Nielisz (2)";2;2;0;4;2;2;2;0;0;0;
0620092;"Sitno (2)";0;0;0;0;0;0;0;0;0;2;
0620102;"Skierbieszów (2)";0;0;0;0;0;1;1;0;0;1;
0620133;"Szczebrzeszyn (3)";1;1;1;2;2;2;1;0;0;1;
0620134;"Szczebrzeszyn - miasto (4)";1;1;1;2;2;2;1;0;0;1;
0620153;"Zwierzyniec (3)";0;0;0;0;0;1;1;0;0;1;
0620154;"Zwierzyniec - miasto (4)";0;0;0;0;0;1;1;0;0;1;
0661000;"Powiat m. Biała Podlaska";10;15;19;25;24;27;17;3;9;16;
0661011;"Biała Podlaska (1)";10;15;19;25;24;27;17;3;9;16;
0662000;"Powiat m. Chełm";21;5;3;6;15;9;14;1;7;9;
0662011;"Chełm (1)";21;5;3;6;15;9;14;1;7;9;
0663000;"Powiat m. Lublin";109;127;178;189;197;140;123;26;102;125;
0663011;"Lublin (1)";109;127;178;189;197;140;123;26;102;125;
0664000;"Powiat m. Zamość";7;7;6;7;17;8;16;20;15;2;
0664011;"Zamość (1)";7;7;6;7;17;8;16;20;15;2;
0800000;"LUBUSKIE";131;143;156;180;153;162;154;48;85;121;
0801000;"Powiat gorzowski";14;11;13;17;12;20;7;0;2;4;
0801011;"Kostrzyn nad Odrą (1)";11;10;12;14;9;16;1;0;0;0;
0801022;"Bogdaniec (2)";1;0;0;1;1;1;1;0;1;1;
0801032;"Deszczno (2)";1;1;1;2;2;2;2;0;0;1;
0801042;"Kłodawa (2)";0;0;0;0;0;0;1;0;1;2;
0801052;"Lubiszyn (2)";1;0;0;0;0;0;1;0;0;0;
0801062;"Santok (2)";0;0;0;0;0;0;1;0;0;0;
0801073;"Witnica (3)";0;0;0;0;0;1;0;0;0;0;
0801074;"Witnica - miasto (4)";0;0;0;0;0;1;0;0;0;0;
0802000;"Powiat krośnieński";2;2;1;1;1;1;1;0;1;4;
0802011;"Gubin (1)";0;1;0;0;0;0;0;0;0;1;
0802042;"Dąbie (2)";2;0;0;0;0;0;0;0;1;2;
0802063;"Krosno Odrzańskie (3)";0;1;1;1;1;1;1;0;0;1;
0802064;"Krosno Odrzańskie - miasto (4)";0;1;1;1;1;1;1;0;0;1;
0803000;"Powiat międzyrzecki";2;1;1;1;2;2;3;0;0;1;
0803023;"Międzyrzecz (3)";0;0;0;0;1;1;2;0;0;0;
0803024;"Międzyrzecz - miasto (4)";0;0;0;0;1;1;2;0;0;0;
0803032;"Przytoczna (2)";1;0;1;1;1;1;1;0;0;1;
0803053;"Skwierzyna (3)";1;1;0;0;0;0;0;0;0;0;
0803054;"Skwierzyna - miasto (4)";1;1;0;0;0;0;0;0;0;0;
0804000;"Powiat nowosolski";8;3;3;3;3;4;3;0;2;3;
0804011;"Nowa Sól (1)";8;3;2;2;2;2;2;0;0;1;
0804032;"Kolsko (2)";0;0;0;0;0;1;0;0;0;0;
0804043;"Kożuchów (3)";0;0;1;1;1;1;1;0;0;2;
0804044;"Kożuchów - miasto (4)";0;0;1;1;1;1;1;0;0;2;
0804063;"Nowe Miasteczko (3)";0;0;0;0;0;0;0;0;2;0;
0804064;"Nowe Miasteczko - miasto (4)";0;0;0;0;0;0;0;0;2;0;
0805000;"Powiat słubicki";4;4;4;4;5;4;6;0;0;5;
0805013;"Cybinka (3)";1;1;1;1;1;1;1;0;0;0;
0805014;"Cybinka - miasto (4)";1;1;1;1;1;1;1;0;0;0;
0805033;"Ośno Lubuskie (3)";1;1;1;1;1;1;1;0;0;1;
0805034;"Ośno Lubuskie - miasto (4)";1;1;1;1;1;1;1;0;0;1;
0805043;"Rzepin (3)";1;1;1;1;1;1;3;0;0;1;
0805044;"Rzepin - miasto (4)";1;1;1;1;1;1;3;0;0;1;
0805053;"Słubice (3)";1;1;1;1;2;1;1;0;0;3;
0805054;"Słubice - miasto (4)";1;1;1;1;2;1;1;0;0;3;
0806000;"Powiat strzelecko-drezdenecki";2;4;7;9;5;5;3;0;0;0;
0806013;"Dobiegniew (3)";0;1;5;6;1;1;1;0;0;0;
0806014;"Dobiegniew - miasto (4)";0;1;5;6;1;1;1;0;0;0;
0806023;"Drezdenko (3)";1;2;2;1;2;2;0;0;0;0;
0806024;"Drezdenko - miasto (4)";1;2;2;1;2;2;0;0;0;0;
0806043;"Strzelce Krajeńskie (3)";1;1;0;2;2;2;2;0;0;0;
0806044;"Strzelce Krajeńskie - miasto (4)";1;1;0;2;2;2;2;0;0;0;
0807000;"Powiat sulęciński";2;3;2;1;3;3;3;0;0;2;
0807023;"Lubniewice (3)";1;1;1;0;2;2;2;0;0;0;
0807024;"Lubniewice - miasto (4)";1;1;1;0;2;2;2;0;0;0;
0807043;"Sulęcin (3)";0;1;0;0;0;0;0;0;0;1;
0807044;"Sulęcin - miasto (4)";0;1;0;0;0;0;0;0;0;1;
0807053;"Torzym (3)";1;1;1;1;1;1;1;0;0;1;
0807054;"Torzym - miasto (4)";1;1;1;1;1;1;1;0;0;1;
0808000;"Powiat świebodziński";6;7;3;15;11;4;5;0;0;5;
0808012;"Lubrza (2)";1;0;0;0;0;0;0;0;0;0;
0808022;"Łagów (2)";1;2;1;1;1;1;1;0;0;1;
0808032;"Skąpe (2)";2;3;0;0;0;0;0;0;0;0;
0808053;"Świebodzin (3)";1;1;1;12;9;2;3;0;0;3;
0808054;"Świebodzin - miasto (4)";1;1;1;12;9;2;3;0;0;3;
0808063;"Zbąszynek (3)";1;1;1;2;1;1;1;0;0;1;
0808064;"Zbąszynek - miasto (4)";1;1;1;2;1;1;1;0;0;1;
0809000;"Powiat zielonogórski";6;6;2;4;3;2;2;0;0;1;
0809013;"Babimost (3)";1;2;1;2;1;1;0;0;0;0;
0809014;"Babimost - miasto (4)";1;2;1;2;1;1;0;0;0;0;
0809033;"Czerwieńsk (3)";1;1;0;0;0;0;0;0;0;0;
0809034;"Czerwieńsk - miasto (4)";1;1;0;0;0;0;0;0;0;0;
0809053;"Nowogród Bobrzański (3)";1;1;1;1;1;0;1;0;0;0;
0809054;"Nowogród Bobrzański - miasto (4)";1;1;1;1;1;0;1;0;0;0;
0809063;"Sulechów (3)";2;2;0;1;1;1;1;0;0;1;
0809064;"Sulechów - miasto (4)";2;2;0;1;1;1;1;0;0;1;
0809092;"Zabór (2)";1;0;0;0;0;0;0;0;0;0;
0810000;"Powiat żagański";1;2;1;3;3;2;1;1;2;2;
0810021;"Żagań (1)";1;1;1;1;1;1;1;1;2;2;
0810053;"Małomice (3)";0;1;0;0;0;0;0;0;0;0;
0810054;"Małomice - miasto (4)";0;1;0;0;0;0;0;0;0;0;
0810073;"Szprotawa (3)";0;0;0;2;2;1;0;0;0;0;
0810074;"Szprotawa - miasto (4)";0;0;0;2;2;1;0;0;0;0;
0811000;"Powiat żarski";6;4;3;4;6;7;5;0;0;1;
0811011;"Łęknica (1)";0;0;0;0;2;1;2;0;0;0;
0811021;"Żary (1)";2;3;2;3;3;4;3;0;0;1;
0811032;"Brody (2)";1;0;0;0;0;0;0;0;0;0;
0811063;"Lubsko (3)";0;1;1;1;1;2;0;0;0;0;
0811064;"Lubsko - miasto (4)";0;1;1;1;1;2;0;0;0;0;
0811092;"Tuplice (2)";3;0;0;0;0;0;0;0;0;0;
0812000;"Powiat wschowski";2;2;3;4;3;4;3;0;4;5;
0812013;"Sława (3)";2;2;3;2;2;2;2;0;4;4;
0812014;"Sława - miasto (4)";2;2;3;2;2;2;2;0;4;4;
0812033;"Wschowa (3)";0;0;0;2;1;2;1;0;0;1;
0812034;"Wschowa - miasto (4)";0;0;0;2;1;2;1;0;0;1;
0861000;"Powiat m. Gorzów Wielkopolski";22;37;34;35;34;30;43;17;36;31;
0861011;"Gorzów Wielkopolski (1)";22;37;34;35;34;30;43;17;36;31;
0862000;"Powiat m. Zielona Góra";54;57;79;79;62;74;69;30;38;57;
0862011;"Zielona Góra (1)";54;57;79;79;62;74;69;30;38;57;
1000000;"ŁÓDZKIE";221;270;251;267;268;327;338;69;97;241;
1001000;"Powiat bełchatowski";42;50;52;31;14;16;13;6;4;9;
1001011;"Bełchatów (1)";39;46;48;26;10;11;8;6;4;5;
1001032;"Drużbice (2)";0;0;0;1;0;0;0;0;0;0;
1001042;"Kleszczów (2)";2;2;2;2;2;2;2;0;0;2;
1001052;"Kluki (2)";0;0;1;0;1;0;0;0;0;0;
1001062;"Rusiec (2)";0;0;0;0;0;1;0;0;0;1;
1001072;"Szczerców (2)";0;1;0;1;0;1;1;0;0;1;
1001083;"Zelów (3)";1;1;1;1;1;1;2;0;0;0;
1001084;"Zelów - miasto (4)";1;1;1;1;1;1;2;0;0;0;
1002000;"Powiat kutnowski";5;3;6;6;5;7;9;0;2;1;
1002011;"Kutno (1)";4;3;5;5;4;6;8;0;2;1;
1002113;"Żychlin (3)";1;0;1;1;1;1;1;0;0;0;
1002114;"Żychlin - miasto (4)";1;0;1;1;1;1;1;0;0;0;
1003000;"Powiat łaski";2;1;1;1;2;2;3;0;0;2;
1003012;"Buczek (2)";1;1;1;1;1;2;1;0;0;1;
1003023;"Łask (3)";0;0;0;0;0;0;2;0;0;1;
1003024;"Łask - miasto (4)";0;0;0;0;0;0;2;0;0;1;
1003032;"Sędziejowice (2)";1;0;0;0;1;0;0;0;0;0;
1004000;"Powiat łęczycki";3;6;5;5;0;1;2;0;0;0;
1004011;"Łęczyca (1)";0;0;0;1;0;1;2;0;0;0;
1004042;"Grabów (2)";0;6;0;0;0;0;0;0;0;0;
1004062;"Piątek (2)";0;0;3;2;0;0;0;;;;
1004082;"Witonia (2)";3;0;2;2;0;0;0;0;0;0;
1005000;"Powiat łowicki";20;16;15;14;12;15;15;0;1;7;
1005011;"Łowicz (1)";9;7;7;5;4;7;8;0;1;1;
1005022;"Bielawy (2)";1;1;1;1;0;0;0;0;0;0;
1005032;"Chąśno (2)";1;0;0;1;1;1;2;0;0;0;
1005042;"Domaniewice (2)";1;1;1;1;1;1;1;0;0;1;
1005052;"Kiernozia (2)";2;3;2;2;2;2;2;0;0;3;
1005082;"Łyszkowice (2)";4;0;2;1;2;1;1;0;0;0;
1005092;"Nieborów (2)";0;0;0;0;0;1;0;0;0;0;
1005102;"Zduny (2)";2;4;2;3;2;2;1;0;0;2;
1006000;"Powiat łódzki wschodni";0;1;3;9;11;11;12;0;0;4;
1006022;"Andrespol (2)";0;0;2;2;4;5;4;0;0;0;
1006032;"Brójce (2)";0;0;0;2;2;2;2;0;0;1;
1006073;"Koluszki (3)";0;0;1;2;2;2;3;0;0;2;
1006074;"Koluszki - miasto (4)";0;0;1;2;2;2;3;0;0;2;
1006103;"Rzgów (3)";0;1;0;3;1;1;2;0;0;1;
1006104;"Rzgów - miasto (4)";0;1;0;3;1;1;2;0;0;1;
1006113;"Tuszyn (3)";0;0;0;0;2;1;1;0;0;0;
1006114;"Tuszyn - miasto (4)";0;0;0;0;2;1;1;0;0;0;
1007000;"Powiat opoczyński";1;1;1;1;2;3;4;0;0;4;
1007023;"Drzewica (3)";1;1;1;1;1;1;1;0;0;1;
1007024;"Drzewica - miasto (4)";1;1;1;1;1;1;1;0;0;1;
1007043;"Opoczno (3)";0;0;0;0;1;1;1;0;0;3;
1007044;"Opoczno - miasto (4)";0;0;0;0;1;1;1;0;0;3;
1007052;"Paradyż (2)";0;0;0;0;0;0;2;0;0;0;
1007072;"Sławno (2)";0;0;0;0;0;1;0;0;0;0;
1008000;"Powiat pabianicki";4;4;3;6;5;5;7;1;2;3;
1008011;"Konstantynów Łódzki (1)";0;0;0;2;1;1;1;0;1;1;
1008021;"Pabianice (1)";4;4;3;4;4;4;6;1;1;2;
1009000;"Powiat pajęczański";0;0;1;1;4;5;4;1;0;1;
1009013;"Działoszyn (3)";0;0;0;1;2;2;2;1;0;1;
1009014;"Działoszyn - miasto (4)";0;0;0;1;2;2;2;1;0;1;
1009043;"Pajęczno (3)";0;0;0;0;1;1;1;0;0;0;
1009044;"Pajęczno - miasto (4)";0;0;0;0;1;1;1;0;0;0;
1009052;"Rząśnia (2)";0;0;0;0;1;2;1;0;0;0;
1009062;"Siemkowice (2)";0;0;1;0;0;0;0;0;0;0;
1010000;"Powiat piotrkowski";3;0;0;4;5;4;6;0;0;1;
1010032;"Gorzkowice (2)";3;0;0;2;2;1;1;0;0;0;
1010082;"Rozprza (2)";0;0;0;0;1;1;1;0;0;0;
1010093;"Sulejów (3)";0;0;0;1;1;1;1;0;0;0;
1010094;"Sulejów - miasto (4)";0;0;0;1;1;1;1;0;0;0;
1010102;"Wola Krzysztoporska (2)";0;0;0;1;1;1;1;0;0;0;
1010113;"Wolbórz (3)";0;0;0;0;0;0;2;0;0;1;
1010114;"Wolbórz - miasto (4)";0;0;0;0;0;0;2;0;0;1;
1011000;"Powiat poddębicki";4;4;13;6;2;5;5;2;2;4;
1011012;"Dalików (2)";0;0;0;0;0;0;0;0;1;0;
1011033;"Poddębice (3)";0;0;8;2;1;3;0;0;0;2;
1011034;"Poddębice - miasto (4)";0;0;8;2;1;3;0;0;0;2;
1011043;"Uniejów (3)";3;3;3;3;0;1;3;2;1;1;
1011044;"Uniejów - miasto (4)";3;3;3;3;0;1;3;2;1;1;
1011052;"Wartkowice (2)";0;0;1;0;1;1;2;0;0;0;
1011062;"Zadzim (2)";1;1;1;1;0;0;0;0;0;1;
1012000;"Powiat radomszczański";2;3;3;3;3;6;14;0;1;4;
1012011;"Radomsko (1)";2;2;2;3;3;5;13;0;1;4;
1012053;"Kamieńsk (3)";0;0;0;0;0;1;1;0;0;0;
1012054;"Kamieńsk - miasto (4)";0;0;0;0;0;1;1;0;0;0;
1012102;"Masłowice (2)";0;1;1;0;0;0;0;0;0;0;
1013000;"Powiat rawski";7;10;4;5;4;7;6;0;0;2;
1013011;"Rawa Mazowiecka (1)";4;6;2;2;2;3;4;0;0;1;
1013023;"Biała Rawska (3)";2;3;2;2;2;3;2;0;0;1;
1013024;"Biała Rawska - miasto (4)";2;3;2;2;2;3;2;0;0;1;
1013032;"Cielądz (2)";1;0;0;0;0;1;0;0;0;0;
1013052;"Regnów (2)";0;1;0;0;0;0;0;0;0;0;
1013062;"Sadkowice (2)";0;0;0;1;0;0;0;0;0;0;
1014000;"Powiat sieradzki";4;11;10;6;7;7;8;0;1;8;
1014011;"Sieradz (1)";4;3;3;4;4;4;5;0;0;5;
1014023;"Błaszki (3)";0;0;0;0;0;0;1;0;0;1;
1014024;"Błaszki - miasto (4)";0;0;0;0;0;0;1;0;0;1;
1014052;"Burzenin (2)";0;0;0;1;1;1;1;0;0;1;
1014062;"Goszczanów (2)";0;2;0;0;0;0;0;0;0;0;
1014093;"Warta (3)";0;6;6;0;1;1;0;0;1;1;
1014094;"Warta - miasto (4)";0;6;6;0;1;1;0;0;1;1;
1014102;"Wróblew (2)";0;0;1;1;1;1;1;0;0;0;
1015000;"Powiat skierniewicki";3;3;3;0;0;0;1;0;0;0;
1015022;"Głuchów (2)";3;3;3;0;0;0;0;0;0;0;
1015062;"Maków (2)";0;0;0;0;0;0;1;0;0;0;
1016000;"Powiat tomaszowski";1;4;3;8;10;14;11;5;4;6;
1016011;"Tomaszów Mazowiecki (1)";1;3;3;8;9;13;10;5;4;6;
1016052;"Inowłódz (2)";0;1;0;0;1;1;1;0;0;0;
1017000;"Powiat wieluński";2;2;2;5;5;3;1;0;0;0;
1017093;"Wieluń (3)";2;2;2;5;5;3;1;0;0;0;
1017094;"Wieluń - miasto (4)";2;2;2;5;5;3;1;0;0;0;
1018000;"Powiat wieruszowski";3;1;2;2;2;1;1;0;0;1;
1018032;"Galewice (2)";3;1;1;0;0;0;0;0;0;0;
1018062;"Sokolniki (2)";0;0;0;1;0;0;0;0;0;0;
1018073;"Wieruszów (3)";0;0;1;1;2;1;1;0;0;1;
1018074;"Wieruszów - miasto (4)";0;0;1;1;2;1;1;0;0;1;
1019000;"Powiat zduńskowolski";1;4;6;4;4;9;3;0;1;3;
1019011;"Zduńska Wola (1)";0;3;5;3;3;8;3;0;0;2;
1019023;"Szadek (3)";1;1;1;0;0;0;0;0;0;0;
1019024;"Szadek - miasto (4)";1;1;1;0;0;0;0;0;0;0;
1019032;"Zapolice (2)";0;0;0;1;1;1;0;0;1;1;
1020000;"Powiat zgierski";6;9;7;12;10;9;7;1;1;6;
1020011;"Głowno (1)";1;1;1;1;1;2;1;0;0;1;
1020021;"Ozorków (1)";1;1;1;1;1;1;1;0;0;1;
1020031;"Zgierz (1)";1;4;2;6;4;4;2;1;0;2;
1020043;"Aleksandrów Łódzki (3)";2;2;2;2;2;2;2;0;1;2;
1020044;"Aleksandrów Łódzki - miasto (4)";2;2;2;2;2;2;2;0;1;2;
1020072;"Parzęczew (2)";0;0;0;0;1;0;0;0;0;0;
1020083;"Stryków (3)";1;1;1;2;1;0;1;0;0;0;
1020084;"Stryków - miasto (4)";1;1;1;2;1;0;1;0;0;0;
1021000;"Powiat brzeziński";1;1;1;1;1;1;1;0;1;0;
1021011;"Brzeziny (1)";1;1;1;1;1;1;1;0;0;0;
1021052;"Rogów (2)";0;0;0;0;0;0;0;0;1;0;
1061000;"Powiat m. Łódź";101;130;106;131;149;186;193;53;75;169;
1061011;"Łódź (1)";101;130;106;131;149;186;193;53;75;169;
1062000;"Powiat m. Piotrków Trybunalski";5;4;2;3;8;6;7;0;1;3;
1062011;"Piotrków Trybunalski (1)";5;4;2;3;8;6;7;0;1;3;
1063000;"Powiat m. Skierniewice";1;2;2;3;3;4;5;0;1;3;
1063011;"Skierniewice (1)";1;2;2;3;3;4;5;0;1;3;
1200000;"MAŁOPOLSKIE";599;572;571;614;603;559;563;144;194;413;
1201000;"Powiat bocheński";7;5;6;6;6;7;13;2;1;13;
1201011;"Bochnia (1)";6;3;6;4;6;5;10;2;1;13;
1201052;"Łapanów (2)";0;0;0;0;0;1;0;0;0;0;
1201063;"Nowy Wiśnicz (3)";0;0;0;1;0;0;2;0;0;0;
1201064;"Nowy Wiśnicz - miasto (4)";0;0;0;1;0;0;2;0;0;0;
1201072;"Rzezawa (2)";0;0;0;0;0;1;1;0;0;0;
1201082;"Trzciana (2)";0;1;0;0;0;0;0;0;0;0;
1201092;"Żegocina (2)";1;1;0;1;0;0;0;0;0;0;
1202000;"Powiat brzeski";21;6;5;4;6;6;7;0;0;2;
1202012;"Borzęcin (2)";2;2;2;1;2;2;2;0;0;0;
1202023;"Brzesko (3)";18;2;1;1;2;1;2;0;0;1;
1202024;"Brzesko - miasto (4)";18;2;1;1;2;1;2;0;0;1;
1202033;"Czchów (3)";1;1;1;1;1;1;1;0;0;0;
1202034;"Czchów - miasto (4)";1;1;1;1;1;1;1;0;0;0;
1202052;"Gnojnik (2)";0;1;0;0;1;1;1;0;0;0;
1202072;"Szczurowa (2)";0;0;1;1;0;1;1;0;0;1;
1203000;"Powiat chrzanowski";5;7;6;9;8;9;12;0;0;5;
1203013;"Alwernia (3)";0;0;0;1;1;2;1;0;0;1;
1203014;"Alwernia - miasto (4)";0;0;0;1;1;2;1;0;0;1;
1203022;"Babice (2)";0;0;0;1;0;0;1;0;0;1;
1203033;"Chrzanów (3)";2;4;2;3;2;2;4;0;0;1;
1203034;"Chrzanów - miasto (4)";2;4;2;3;2;2;4;0;0;1;
1203043;"Libiąż (3)";1;1;2;2;2;2;2;0;0;1;
1203044;"Libiąż - miasto (4)";1;1;2;2;2;2;2;0;0;1;
1203053;"Trzebinia (3)";2;2;2;2;3;3;4;0;0;1;
1203054;"Trzebinia - miasto (4)";2;2;2;2;3;3;4;0;0;1;
1204000;"Powiat dąbrowski";1;2;6;2;2;2;3;0;0;1;
1204023;"Dąbrowa Tarnowska (3)";1;1;1;1;1;1;2;0;0;1;
1204024;"Dąbrowa Tarnowska - miasto (4)";1;1;1;1;1;1;2;0;0;1;
1204073;"Szczucin (3)";0;1;5;1;1;1;1;0;0;0;
1204074;"Szczucin - miasto (4)";0;1;5;1;1;1;1;0;0;0;
1205000;"Powiat gorlicki";6;6;7;7;13;9;8;0;1;3;
1205011;"Gorlice (1)";1;2;3;3;6;3;3;0;1;1;
1205023;"Biecz (3)";2;1;1;2;2;1;0;0;0;0;
1205024;"Biecz - miasto (4)";2;1;1;2;2;1;0;0;0;0;
1205033;"Bobowa (3)";0;0;0;0;1;1;0;0;0;0;
1205034;"Bobowa - miasto (4)";0;0;0;0;1;1;0;0;0;0;
1205052;"Lipinki (2)";1;0;0;0;0;0;1;0;0;0;
1205082;"Ropa (2)";1;1;1;1;1;1;1;0;0;0;
1205092;"Sękowa (2)";0;0;1;0;2;2;2;0;0;1;
1205102;"Uście Gorlickie (2)";1;2;1;1;1;1;1;0;0;1;
1206000;"Powiat krakowski";4;9;9;8;9;9;11;1;0;2;
